Number	SOMAmer SeqID	Analyte	UniProt ID
498	2768-56_2	Hemopexin	P02790
499	4552-13_2	Heparan-sulfate 6-O-sulfotransferase 1	O60243
500	3316-58_1	Heparin cofactor 2	P05546
501	4134-4_2	Heparin-binding EGF-like growth factor	Q99075
502	5134-52_2	Hepatitis A virus cellular receptor 2	Q8TDQ0
503	2681-23_2	Hepatocyte growth factor	P14210
504	3617-80_4	Hepatocyte growth factor activator	Q04756
505	2837-3_2	Hepatocyte growth factor receptor	P08581
506	4407-10_1	Hepatocyte growth factor-like protein	P26927
507	4553-65_3	Hepatoma-derived growth factor-related protein 2	Q7Z4V5
508	3504-58_2	Hepcidin	P81172
509	4450-26_2	Heterogeneous nuclear ribonucleoprotein A/B	Q99729
510	4994-178_1	Heterogeneous nuclear ribonucleoprotein K	P61978
511	4224-7_2	Heterogeneous nuclear ribonucleoprotein Q	O60506
512	5351-52_3	Heterogeneous nuclear ribonucleoproteins A2/B1	P22626
513	5178-5_3	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A	Q13946
514	5201-50_4	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A	O76083
515	3312-64_1	High affinity immunoglobulin gamma Fc receptor I	P12314
516	3477-63_2	High affinity nerve growth factor receptor	P04629
517	2524-56_3	High mobility group protein B1	P09429
518	3886-72_1	Histidine triad nucleotide-binding protein 1	P49773
519	4996-66_1	Histidine-rich glycoprotein	P04196
520	2865-77_2	Histone acetyltransferase KAT6A	Q92794
521	2858-29_2	Histone acetyltransferase type B catalytic subunit	O14929
522	2859-69_2	Histone deacetylase 8	Q9BY41
523	2987-37_3	Histone H1.2	P16403
524	4163-5_2	Histone H2A.z	P0C0S5
525	2957-21_2	Histone-lysine N-methyltransferase EHMT2	Q96KQ7
526	2732-58_3	Homeobox protein NANOG	Q9H9S0
527	3443-61_2	Homeodomain-interacting protein kinase 3	Q9H422
528	3879-50_1	Hsp90 co-chaperone Cdc37	Q16543
529	4914-10_1	Human Chorionic Gonadotropin	P01215, P01233
530	3196-6_2	Hyaluronan and proteoglycan link protein 1	P10915
531	5061-27_3	ICOS ligand	O75144
532	3198-4_1	Iduronate 2-sulfatase	P22304
533	4987-17_1	Immunoglobulin alpha Fc receptor	P24071
534	4916-2_1	Immunoglobulin D	P01880
535	4135-84_2	Immunoglobulin E	P01854
536	3700-15_4	Immunoglobulin G	P01857
537	3069-52_3	Immunoglobulin M	P01871
538	2860-19_2	Importin subunit alpha-1	P52292
539	3887-90_2	Importin subunit beta-1	Q14974
540	2988-57_2	Inducible T-cell costimulator	Q9Y6W8
541	2748-3_2	Inhibin beta A chain	P08476
542	4383-97_1	Inhibin beta A chain:Inhibin beta B chain heterodimer	P08476, P09529
543	3888-8_1	Inhibitor of growth protein 1	Q9UK53
544	5021-13_1	Inorganic pyrophosphatase	Q15181
545	5229-90_3	Inosine-5'-monophosphate dehydrogenase 1	P20839
546	5250-53_3	Inosine-5'-monophosphate dehydrogenase 2	P12268
547	4883-56_2	Insulin	P01308
548	3448-13_2	Insulin receptor	P06213
549	3197-70_2	Insulin-degrading enzyme	P14735
550	4232-19_2	Insulin-like growth factor 1 receptor	P08069
551	2952-75_2	Insulin-like growth factor I	P05019
552	2771-35_2	Insulin-like growth factor-binding protein 1	P08833
553	2570-72_5	Insulin-like growth factor-binding protein 2	P18065
554	2571-12_3	Insulin-like growth factor-binding protein 3	P17936
555	2950-57_2	Insulin-like growth factor-binding protein 4	P22692
556	2685-21_2	Insulin-like growth factor-binding protein 5	P24593
557	2686-67_2	Insulin-like growth factor-binding protein 6	P24592
558	3320-49_2	Insulin-like growth factor-binding protein 7	Q16270
559	3503-4_2	Integrin alpha-I: beta-1 complex	P56199, P05556
560	3739-72_4	Integrin alpha-IIb: beta-3 complex	P08514, P05106
561	4917-62_1	Integrin alpha-V: beta-5 complex	P06756, P18084
562	4811-33_3	Inter-alpha-trypsin inhibitor heavy chain H4	Q14624
563	4342-10_3	Intercellular adhesion molecule 1	P05362
564	2842-68_1	Intercellular adhesion molecule 2	P13598
565	2649-77_2	Intercellular adhesion molecule 3	P32942
566	5124-69_3	Intercellular adhesion molecule 5	Q9UMF0
567	3497-13_2	Interferon alpha-2	P01563
568	2989-17_2	Interferon gamma	P01579
569	3716-63_2	Interferon gamma receptor 1	P15260
570	4396-54_1	Interferon lambda-1	Q8IU54
571	4397-26_2	Interferon lambda-2	Q8IZJ0
572	4851-25_1	Interleukin-1 alpha	P01583
573	3037-62_1	Interleukin-1 beta	P01584
574	2630-12_2	Interleukin-1 Receptor accessory protein	Q9NPH3
575	2991-9_2	Interleukin-1 receptor type 1	P14778
576	4234-8_2	Interleukin-1 receptor-like 1	Q01638
577	2994-71_2	Interleukin-1 receptor-like 2	Q9HB29
578	2773-50_2	Interleukin-10	P22301
579	2631-50_2	Interleukin-10 receptor subunit beta	Q08334
580	4493-92_1	Interleukin-11	P20809
581	3814-63_1	Interleukin-11 receptor subunit alpha	Q14626
582	2455-17_4	Interleukin-12	P29459,  P29460
583	2632-5_2	Interleukin-12 receptor subunit beta-1	P42701
584	3815-14_1	Interleukin-12 receptor subunit beta-2	Q99665
585	3072-4_2	Interleukin-13	P35225
586	2633-52_2	Interleukin-13 receptor subunit alpha-1	P78552
587	3445-53_2	Interleukin-15 receptor subunit alpha	Q13261
588	2774-10_3	Interleukin-16	Q14005
589	2992-59_2	Interleukin-17 receptor A	Q96F46
590	5084-154_3	interleukin-17 receptor B	Q9NRM6
591	5468-67_3	Interleukin-17 receptor C	Q8NAC3
592	3376-49_2	Interleukin-17 receptor D	Q8NFM7
593	3498-53_2	Interleukin-17A	Q16552
594	3499-77_2	Interleukin-17B	Q9UHF5
595	4136-40_2	Interleukin-17D	Q8TAD2
596	2775-54_2	Interleukin-17F	Q96PD4
597	3446-7_2	Interleukin-18 receptor 1	Q13478
598	2993-1_2	Interleukin-18 receptor accessory protein	O95256
599	3073-51_2	Interleukin-18-binding protein	O95998
600	3035-80_2	Interleukin-19	Q9UHD0
601	3070-1_2	Interleukin-2	P60568
602	3151-6_1	Interleukin-2 receptor subunit alpha	P01589
603	4138-25_2	Interleukin-20	Q9NYY1
604	5085-18_3	Interleukin-20 receptor subunit alpha	Q9UHF4
605	2778-10_2	Interleukin-22	Q9GZX6
606	3620-67_5	Interleukin-22 receptor subunit alpha-1	Q8N6P7
607	5087-5_3	Interleukin-22 receptor subunit alpha-2	Q969J5
608	4494-63_2	Interleukin-23	P29460, Q9NPF7
609	5088-175_3	Interleukin-23 receptor	Q5VWK5
610	3321-2_2	Interleukin-24	Q13007
611	4137-57_2	Interleukin-25	Q9H293
612	2829-19_2	Interleukin-27	Q8NEV9, Q14213
613	5132-71_3	Interleukin-27 receptor subunit alpha	Q6UWB1
614	4717-55_2	Interleukin-3	P08700
615	4490-65_2	Interleukin-3 receptor subunit alpha	P26951
616	4556-10_2	Interleukin-34	Q6ZMJ4
617	2723-9_2	Interleukin-37	Q9NZH6
618	2906-55_3	Interleukin-4	P05112
619	3055-54_2	Interleukin-4 receptor subunit alpha	P24394
620	3741-4_3	Interleukin-5	P05113
621	4491-4_2	Interleukin-5 receptor subunit alpha	Q01344
622	4673-13_2	Interleukin-6	P05231
623	4139-71_2	Interleukin-6 receptor subunit alpha	P08887
624	2620-4_2	Interleukin-6 receptor subunit beta	P40189
625	4140-3_2	Interleukin-7	P13232
626	5089-11_3	Interleukin-7 receptor subunit alpha	P16871
627	3447-64_2	Interleukin-8	P10145
628	4924-32_1	Interstitial collagenase	P03956
629	2997-8_1	Junctional adhesion molecule B	P57087
630	2998-53_2	Junctional adhesion molecule C	Q9BX67
631	5094-62_3	Junctional adhesion molecule-like	Q86YT9
632	2831-29_1	Kallikrein-11	Q9UBX7
633	3199-54_2	Kallikrein-12	Q9UKR0
634	3200-49_2	Kallikrein-13	Q9UKR3
635	3681-87_3	Kallikrein-14	Q9P0G3
636	2833-20_1	Kallikrein-4	Q9Y5K2
637	3201-49_2	Kallikrein-5	Q9Y337
638	3450-4_2	Kallikrein-6	Q92876
639	3378-49_2	Kallikrein-7	P49862
640	2834-54_1	Kallikrein-8	O60259
641	3449-58_2	Kallistatin	P29622
642	5354-11_3	Keratin, type I cytoskeletal 18	P05783
643	5095-21_3	Killer cell immunoglobulin-like receptor 2DL4	Q99706
644	5096-51_3	Killer cell immunoglobulin-like receptor 3DL2	P43630
645	5097-14_3	Killer cell immunoglobulin-like receptor 3DS1	Q14943
646	5098-79_3	Killer cell lectin-like receptor subfamily F member 1	Q9NZS2
647	4557-61_2	Kin of IRRE-like protein 3	Q8IZU9
648	5228-25_2	Kinesin-like protein KIF23	Q02241
649	4495-33_2	Kininogen-1	P01042
650	3202-28_2	Kremen protein 2	Q8NCW0
651	2828-82_2	Kunitz-type protease inhibitor 1	O43278
652	2843-13_2	Kunitz-type protease inhibitor 2	O43291
653	4559-64_2	Kynureninase	Q16719
654	4455-89_2	Lactadherin	Q08431
655	4801-13_3	Lactoperoxidase	P22079
656	2780-35_2	Lactotransferrin	P02788
657	3889-64_2	Lamin-B1	P20700
658	2728-62_2	Laminin	P25391, P07942, P11047
659	2635-61_2	Layilin	Q6UX15
660	3622-33_4	Legumain	Q99538
661	2575-5_5	Leptin	P41159
662	5400-52_3	Leptin receptor	P48357
663	4237-70_3	Leucine carboxyl methyltransferase 1	Q9UIC8
664	4452-9_2	Leucine-rich repeat transmembrane neuronal protein 1	Q86UE6
665	4453-83_3	Leucine-rich repeat transmembrane neuronal protein 3	Q86VH5
666	4547-59_2	Leucine-rich repeat transmembrane protein FLRT1	Q9NZU1
667	3322-52_2	Leucine-rich repeats and immunoglobulin-like domains protein 3	Q6UXM1
668	4919-56_2	Leukemia inhibitory factor receptor	P42702
669	5090-49_2	Leukocyte immunoglobulin-like receptor subfamily B member 1	Q8NHL6
670	5091-28_3	Leukocyte immunoglobulin-like receptor subfamily B member 2	Q8N423
671	3204-2_2	Leukotriene A-4 hydrolase	P09960
672	4304-18_2	Ligand-dependent nuclear receptor corepressor-like protein	Q8N3X6
673	2999-6_2	Limbic system-associated membrane protein	Q13449
674	3074-6_2	Lipopolysaccharide-binding protein	P18428
675	3890-8_2	L-lactate dehydrogenase B chain	P07195
676	3291-30_2	Low affinity immunoglobulin epsilon Fc receptor	P06734
677	3310-62_1	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994
678	3311-27_1	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015
679	3858-5_1	Low molecular weight phosphotyrosine protein phosphatase	P24666
680	3323-37_1	Low-density lipoprotein receptor-related protein 8	Q14114
681	4831-4_2	L-Selectin	P14151
682	2953-31_2	Luteinizing hormone	P01215, P01229
683	3206-4_2	Lymphatic vessel endothelial hyaluronic acid receptor 1	Q9Y5Y7
684	5099-14_3	Lymphocyte activation gene 3 protein	P18627
685	3623-84_4	Lymphocyte antigen 86	O95711
686	4143-74_2	Lymphotactin	P47992
687	3505-6_2	Lymphotoxin alpha1:beta2	P01374, Q06643
688	3506-49_1	Lymphotoxin alpha2:beta1	P01374, Q06643
689	4703-87_2	Lymphotoxin-alpha	P01374
690	3179-51_2	Lysosomal protective protein	P10619
691	5100-53_3	Lysosome membrane protein 2	Q14108
692	4920-10_1	Lysozyme C	P61626
693	3738-54_1	Macrophage colony-stimulating factor 1	P09603
694	2638-12_2	Macrophage colony-stimulating factor 1 receptor	P07333
695	2637-77_2	Macrophage mannose receptor 1	P22897
696	4496-60_2	Macrophage metalloelastase	P39900
697	5356-2_3	Macrophage migration inhibitory factor	P14174
698	3684-78_3	Macrophage scavenger receptor types I and II	P21757
699	4968-50_1	Macrophage-capping protein	P40121
700	2640-3_2	Macrophage-stimulating protein receptor	Q04912
701	3853-56_1	Malate dehydrogenase, cytoplasmic	P40925
702	5001-6_2	Mammaglobin-B	O75556
703	3605-77_4	Mannan-binding lectin serine protease 1	P48740
704	3000-66_1	Mannose-binding protein C	P11226
705	3820-68_2	MAP kinase-activated protein kinase 2	P49137
706	3822-54_2	MAP kinase-activated protein kinase 3	Q16644
707	3821-28_1	MAP kinase-activated protein kinase 5	Q8IW41
708	2475-1_3	Mast/stem cell growth factor receptor Kit	P10721
709	3325-2_2	Matrilin-2	O00339
710	3208-2_4	Matrilin-3	O15232
711	2789-26_2	Matrilysin	P09237
712	3209-69_1	Matrix extracellular phosphoglycoprotein	Q9NQ76
713	5002-76_1	Matrix metalloproteinase-14	P50281
714	5268-49_3	Matrix metalloproteinase-16	P51512
715	2838-53_1	Matrix metalloproteinase-17	Q9ULZ9
716	2579-17_5	Matrix metalloproteinase-9	P14780
717	3892-21_2	Mediator of RNA polymerase II transcription subunit 1	Q15648
718	3823-9_1	Megakaryocyte-associated tyrosine-protein kinase	P42679
719	2687-2_1	Melanoma-derived growth regulatory protein	Q16674
720	3685-53_1	Membrane frizzled-related protein	Q9BY79
721	3627-71_4	Membrane metallo-endopeptidase-like 1	Q495T6
722	3893-64_1	Mesothelin	Q13421
723	2211-9_6	Metalloproteinase inhibitor 1	P01033
724	2278-61_4	Metalloproteinase inhibitor 2	P16035
725	2480-58_3	Metalloproteinase inhibitor 3	P35625
726	3210-1_2	Methionine aminopeptidase 1	P53582
727	3170-6_1	Methionine aminopeptidase 2	P50579
728	3891-56_1	Methyl-CpG-binding domain protein 4	O95243
729	2730-58_2	MHC class I polypeptide-related sequence A	Q29983
730	5102-55_3	MHC class I polypeptide-related sequence B	Q29980
731	2653-62_1	Microtubule-associated protein tau	P10636
732	2911-27_2	Midkine	P21741
733	5280-68_5	Mitochondrial glutamate carrier 2	Q9H1K4
734	4545-53_3	Mitochondrial import inner membrane translocase subunit TIM14	Q96DA6
735	3115-64_2	Mitogen-activated protein kinase 1	P28482
736	5004-69_1	Mitogen-activated protein kinase 11	Q15759
737	5005-4_1	Mitogen-activated protein kinase 12	P53778
738	5006-71_1	Mitogen-activated protein kinase 13	O15264
739	5007-1_1	Mitogen-activated protein kinase 14	Q16539
740	2855-49_2	Mitogen-activated protein kinase 3	P27361
741	3825-18_2	Mitogen-activated protein kinase 8	P45983
742	5244-12_3	Mitogen-activated protein kinase 9	P45984
743	5259-2_3	Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion	O43318, Q15750
744	5009-11_1	Moesin	P26038
745	4923-79_1	Muellerian-inhibiting factor	P03971
746	3514-49_2	Myeloblastin	P24158
747	3166-92_1	Myeloid cell surface antigen CD33	P20138
748	2580-83_2	Myeloperoxidase	P05164
749	3042-7_2	Myoglobin	P02144
750	3894-15_2	N-acetyl-D-glucosamine kinase	Q9UJ70
751	3616-3_5	N-acetylglucosamine-6-sulfatase	P15586
752	3173-49_2	N-acylethanolamine-hydrolyzing acid amidase	Q02083
753	5030-52_1	NAD-dependent protein deacetylase sirtuin-2	Q8IXJ6
754	2731-29_2	NADPH--cytochrome P450 reductase	P16435
755	3854-24_1	Nascent polypeptide-associated complex subunit alpha	Q13765
756	5104-57_3	Natural cytotoxicity triggering receptor 1	O76036
757	2734-49_4	Natural cytotoxicity triggering receptor 2	O95944
758	3003-29_2	Natural cytotoxicity triggering receptor 3	O14931
759	5139-32_3	Netrin receptor UNC5C	O95185
760	5140-56_3	Netrin receptor UNC5D	Q6UXZ4
761	3327-27_1	Netrin-4	Q9HB63
762	4498-62_2	Neural cell adhesion molecule 1, 120 kDa isoform	P13591
763	4246-40_2	Neural cell adhesion molecule L1	P32004
764	3601-54_3	Neural cell adhesion molecule L1-like protein	O00533
765	5110-84_3	Neurexin-1-beta	P58400
766	5111-15_3	Neurexin-3-beta	Q9HDB5
767	4562-1_2	Neurexophilin-1	P58417
768	2944-66_2	Neuroblastoma suppressor of tumorigenicity 1	P41271
769	5107-7_2	Neurogenic locus notch homolog protein 1	P46531
770	5106-52_3	Neurogenic locus notch homolog protein 2	Q04721
771	5108-72_3	Neurogenic locus notch homolog protein 3	Q9UM47
772	5357-60_3	Neuroligin-4, X-linked	Q8N0W4
773	5109-24_3	Neuronal cell adhesion molecule	Q92823
774	3214-3_2	Neuropilin-1	O14786
775	4145-58_2	Neurotrophin-3	P20783
776	4146-58_2	Neurotrophin-4	P34130
777	3212-30_3	Neutral ceramidase	Q9NR71
778	2954-56_2	Neutrophil collagenase	P22894
779	5308-89_2	Neutrophil elastase	P08246
780	2836-68_2	Neutrophil gelatinase-associated lipocalin	P80188
781	2790-54_2	Neutrophil-activating peptide 2	P02775
782	5011-11_1	Nicotinamide phosphoribosyltransferase	P43490
783	3213-65_2	Nidogen-1	P14543
784	3633-70_1	Nidogen-2	Q14112
785	3081-70_2	NKG2D ligand 1	Q9BZM6
786	3082-9_2	NKG2D ligand 2	Q9BZM5
787	2747-3_2	NKG2D ligand 3	Q9BZM4
788	3056-11_1	NKG2-D type II integral membrane protein	P26718
789	2735-6_4	Noggin	Q13253
790	5260-80_3	Non-receptor tyrosine-protein kinase TYK2	P29597
791	4250-23_3	NSFL1 cofactor p47	Q9UNZ2
792	2658-27_1	NT-3 growth factor receptor	Q16288
793	5236-2_3	Nuclear receptor subfamily 1 group D member 1	P20393
794	4252-33_4	Nucleoside diphosphate kinase A	P15531
795	4249-64_2	Nucleoside diphosphate kinase B	P22392
796	4254-6_2	NudC domain-containing protein 3	Q8IVD9
797	3635-76_4	OCIA domain-containing protein 1	Q9NX40
798	4769-10_3	Olfactomedin-4	Q6UX06
799	2693-20_3	Oncostatin-M	P13725
800	3634-5_4	Opioid-binding protein/cell adhesion molecule	Q14982
801	5358-3_3	Osteomodulin	Q99983
802	5112-73_3	OX-2 membrane glycoprotein	P41217
803	3636-37_4	Oxidized low-density lipoprotein receptor 1	P78380
804	4588-1_2	Pancreatic hormone	P01298
805	4148-49_2	Pappalysin-1	Q13219
806	3726-62_4	Parathyroid hormone	P01270
807	2962-50_2	Parathyroid hormone-related protein	P12272
808	3727-35_1	Peptide YY	P10082
809	3329-14_2	Peptidoglycan recognition protein 1	O75594
810	3844-2_1	Peptidyl-prolyl cis-trans isomerase A	P62937
811	4718-5_2	Peptidyl-prolyl cis-trans isomerase B	P23284
812	5202-4_3	Peptidyl-prolyl cis-trans isomerase D	Q08752
813	5238-26_3	Peptidyl-prolyl cis-trans isomerase E	Q9UNP9
814	5248-68_2	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405
815	3457-57_1	Periostin	Q15063
816	3855-56_1	Peroxiredoxin-1	Q06830
817	5017-19_1	Peroxiredoxin-5, mitochondrial	P30044
818	5018-68_1	Peroxiredoxin-6	P30041
819	2696-87_2	Persephin	O60542
820	3847-56_2	Persulfide dioxygenase ETHE1, mitochondrial	O95571
821	4267-81_3	Pescadillo homolog	O00541
822	4276-10_2	Phosphatidylethanolamine-binding protein 1	P30086
823	3831-21_1	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	P60484
824	3390-72_2	PIK3CA/PIK3R1	P42336, P27986
825	3391-10_2	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	P48736
826	5020-50_1	Phosphoglycerate kinase 1	P00558
827	3896-5_2	Phosphoglycerate mutase 1	P18669
828	4910-21_1	Phospholipase A2	P04054
829	2692-74_2	Phospholipase A2, membrane associated	P14555
830	4593-11_1	Pituitary adenylate cyclase-activating polypeptide 27	P18509
831	4594-22_2	Pituitary adenylate cyclase-activating polypeptide 38	P18509
832	3078-1_2	Placenta growth factor	P49763
833	4152-58_2	Plasma kallikrein	P03952
834	4479-14_2	Plasma protease C1 inhibitor	P05155
835	3389-7_2	Plasma serine protease inhibitor	P05154
836	4150-75_2	Plasmin	P00747
837	4151-6_2	Plasminogen	P00747
838	2925-9_1	Plasminogen activator inhibitor 1	P05121
839	2695-25_1	Platelet endothelial cell adhesion molecule	P16284
840	2697-7_2	Platelet factor 4	P02776
841	2973-15_2	Platelet glycoprotein 4	P16671
842	4990-87_1	Platelet glycoprotein Ib alpha chain	P07359
843	3194-36_2	Platelet glycoprotein VI	Q9HCN6
844	5015-15_1	Platelet-activating factor acetylhydrolase	Q13093
845	2642-4_1	Platelet-activating factor acetylhydrolase IB subunit beta	P68402
846	3828-54_2	Platelet-derived growth factor C	Q9NRA1
847	3459-49_2	Platelet-derived growth factor receptor beta	P09619
848	4499-21_1	Platelet-derived growth factor subunit A	P04085
849	4149-8_2	Platelet-derived growth factor subunit B	P01127
850	3045-72_2	Pleiotrophin	P21246
851	4564-2_2	Plexin-C1	O60486
852	3216-2_2	Polymeric immunoglobulin receptor	P01833
853	4271-75_2	Prefoldin subunit 5	Q99471
854	4551-72_3	Adhesion G-protein coupled receptor G5	Q8IZF4
855	5060-62_3	Programmed cell death 1 ligand 1	Q9NZQ7
856	3004-67_2	Programmed cell death 1 ligand 2	Q9BQ51
857	2247-20_11	Prokineticin-1	P58294
858	2585-2_5	Prolactin	P01236
859	5114-65_3	Prolactin receptor	P16471
860	2915-6_2	Proliferating cell nuclear antigen	P12004
861	4258-15_2	Proliferation-associated protein 2G4	Q9UQ80
862	2960-66_2	Properdin	P27918
863	4459-68_2	Proprotein convertase subtilisin/kexin type 7	Q16549
864	5231-79_3	Proprotein convertase subtilisin/kexin type 9	Q8NBP7
865	3761-4_2	Prostaglandin G/H synthase 2	P35354
866	4330-4_2	Prostate-specific antigen	P07288
867	5022-61_1	Proteasome activator complex subunit 1	Q06323
868	5204-13_3	Proteasome activator complex subunit 3	P61289
869	3859-50_2	Proteasome subunit alpha type-1	P25786
870	4280-47_2	Proteasome subunit alpha type-2	P25787
871	3860-7_2	Proteasome subunit alpha type-6	P60900
872	4706-17_2	Protein 4.1	P11171
873	4322-28_3	Protein amnionless	Q9BXJ7
874	4278-14_3	Protein disulfide-isomerase	P07237
875	4719-58_2	Protein disulfide-isomerase A3	P30101
876	5016-61_2	Protein deglycase DJ-1	Q99497
877	2623-54_4	Protein E7_HPV16	P03129
878	2624-31_2	Protein E7_HPV18	P06788
879	2760-2_2	Protein FAM107A	O95990
880	4774-62_3	Protein FAM107B	Q9H098
881	5092-51_3	Protein jagged-1	P78504
882	5093-47_3	Protein jagged-2	Q9Y219
883	3392-68_2	RAC-alpha/beta/gamma serine/threonine-protein kinase	P31749, P31751, Q94243
884	2644-11_2	Protein kinase C alpha type	P17252
885	5475-10_3	Protein kinase C beta type (splice variant beta-II)	P05771
886	2869-68_3	Protein kinase C delta type	Q05655
887	5476-66_3	Protein kinase C gamma type	P05129
888	3379-29_1	Protein kinase C iota type	P41743
889	3817-18_1	Protein kinase C theta type	Q04759
890	2645-54_1	Protein kinase C zeta type	Q05513
891	4238-4_2	Protein lin-7 homolog B	Q9HAP6
892	2737-22_2	Protein NOV homolog	P48745
893	2769-3_2	Protein Rev_HV2BE	P18093
894	5339-49_3	Protein S100-A9	P06702
895	5364-7_3	Protein SET	Q01105
896	4889-82_1	Protein Wnt-7a	O00755
897	4471-50_2	Protein-glutamine gamma-glutamyltransferase E	Q08188
898	3832-51_1	Protein-tyrosine kinase 6	Q13882
899	5316-54_3	Prothrombin	P00734
900	3220-40_2	Proto-oncogene tyrosine-protein kinase receptor Ret	P07949
901	5488-74_3	Proto-oncogene tyrosine-protein kinase Src	P12931
902	4154-57_2	P-Selectin	P16109
903	4414-69_2	Pulmonary surfactant-associated protein D	P35247
904	3897-61_1	Pyridoxal phosphate phosphatase	Q96GD0
905	4240-31_2	Pyruvate kinase PKM	P14618
906	2647-66_2	Rab GDP dissociation inhibitor beta	P50395
907	4462-8_2	Ras GTPase-activating protein 1	P20936
908	2870-29_2	Ras-related C3 botulinum toxin substrate 1	P63000
909	2616-23_18	Receptor tyrosine-protein kinase erbB-2	P04626
910	2617-56_35	Receptor tyrosine-protein kinase erbB-3	P21860
911	2618-10_2	Receptor tyrosine-protein kinase erbB-4	Q15303
912	3437-80_3	Receptor-type tyrosine-protein kinase FLT3	P36888
913	3396-54_2	Renin	P00797
914	3833-10_2	Repulsive guidance molecule A	Q96B86
915	3046-31_1	Resistin	Q9HD89
916	5118-74_2	Reticulon-4	Q9NQC3
917	5105-2_3	Reticulon-4 receptor	Q9BZR6
918	5024-67_1	Retinoblastoma-associated protein	P06400
919	3079-62_2	Retinoic acid receptor responder protein 2	Q99969
920	3641-49_4	Retinol-binding protein 4	P02753
921	3331-8_1	RGM domain family member B	Q6NW40
922	3469-74_1	Ribosomal protein S6 kinase alpha-3	P51812
923	3865-53_1	Ribosomal protein S6 kinase alpha-5	O75582
924	3866-7_2	Ribosome maturation protein SBDS	Q9Y3A5
925	4284-18_3	RNA-binding protein 39	Q14498
926	5116-62_2	Roundabout homolog 2	Q9HCK4
927	5117-14_3	Roundabout homolog 3	Q96MS0
928	4566-24_3	R-spondin-2	Q6UXX9
929	5129-12_3	Scavenger receptor class F member 1	Q14162
930	5130-67_3	Scavenger receptor class F member 2	Q96GP6
931	5028-59_1	Scavenger receptor cysteine-rich type 1 protein M130	Q86VB7
932	3221-54_1	Secreted frizzled-related protein 1	Q8N474
933	2841-13_2	Secreted frizzled-related protein 3	Q92765
934	3728-52_2	Secretin	P09683
935	3867-49_1	Seizure 6-like protein 2	Q6UXD5
936	3222-11_2	Semaphorin-3A	Q14563
937	5363-51_3	Semaphorin-3E	O15041
938	5122-92_2	Semaphorin-6A	Q9H2E6
939	5029-3_1	Prolyl endopeptidase FAP	Q12884
940	3624-3_4	Serine protease 27	Q9BQR3
941	3317-33_1	Serine protease HTRA2, mitochondrial	O43464
942	3471-49_1	Serine/threonine-protein kinase 16	O75716
943	5249-31_3	Serine/threonine-protein kinase 17B	O94768
944	2853-68_2	Serine/threonine-protein kinase Chk1	O14757
945	3360-50_4	Serine/threonine-protein kinase Chk2	O96017
946	3629-60_4	Serine/threonine-protein kinase MRCK beta	Q9Y5S2
947	3387-1_2	Serine/threonine-protein kinase PAK 3	O75914
948	3827-22_1	Serine/threonine-protein kinase PAK 6	Q9NQU5
949	3388-58_2	Serine/threonine-protein kinase PAK 7	Q9P286
950	5359-65_3	Serine/threonine-protein kinase pim-1	P11309
951	3394-81_2	Serine/threonine-protein kinase PLK1	P53350
952	2969-11_1	Serine/threonine-protein kinase receptor R3	P37023
953	3400-49_2	Serine/threonine-protein kinase TBK1	Q9UHD2
954	4162-54_2	Serotransferrin	P02787
955	3707-12_2	Serum albumin	P02768
956	4336-2_1	Serum amyloid A-1 protein	P0DJI8
957	2474-54_5	Serum amyloid P-component	P02743
958	4261-55_2	Serum paraoxonase/arylesterase 1	P27169
959	4929-55_1	Sex hormone-binding globulin	P04278
960	4984-83_1	S-formylglutathione hydrolase	P10768
961	4567-82_2	SH2 domain-containing protein 1A	O60880
962	5272-55_2	SHC-transforming protein 1	P29353
963	5125-6_3	Sialic acid-binding Ig-like lectin 14	Q08ET2
964	2741-22_2	Sialic acid-binding Ig-like lectin 6	O43699
965	2742-68_2	Sialic acid-binding Ig-like lectin 7	Q9Y286
966	3007-7_2	Sialic acid-binding Ig-like lectin 9	Q9Y336
967	4464-10_2	Sialoadhesin	Q9BZZ2
968	3642-4_1	SLAM family member 5	Q9UIB8
969	5128-53_3	SLAM family member 6	Q96DU3
970	5487-7_3	SLAM family member 7	Q9NQ25
971	4568-17_2	SLIT and NTRK-like protein 5	O94991
972	3868-8_1	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	O43765
973	5494-52_3	Small nuclear ribonucleoprotein F	P62306
974	3729-16_2	Somatostatin-28	P61278
975	2743-5_2	Sonic hedgehog protein	Q15465
976	3903-49_2	Sorting nexin-4	O95219
977	3043-49_2	SPARC	P09486
978	4467-49_2	SPARC-like protein 1	Q14515
979	5031-10_1	Spectrin alpha chain, non-erythrocytic 1	Q13813
980	3902-21_2	S-phase kinase-associated protein 1	P63208
