Number	SOMAmer SeqID	Analyte Name	UniProt ID
493	3053-49_2	Fms-related tyrosine kinase 3 ligand	P49771
494	4986-59_1	Focal adhesion kinase 1	Q05397
495	3032-11_2	Follicle stimulating hormone	P01215,  P01225
496	4132-27_2	Follistatin	P19883
497	13112-179_3	Follistatin-related protein 1	Q12841
498	3438-10_2	Follistatin-related protein 3	O95633
499	9213-24_3	Formimidoyltransferase-cyclodeaminase	O95954
500	2827-23_2	Fractalkine	P78423
501	5864-10_3	Fructose-bisphosphate aldolase A	P04075
502	5347-59_3	G2/mitotic-specific cyclin-B1	P14635
503	4548-4_2	Galactoside 3(4)-L-fucosyltransferase	P21217
504	11094-104_3	Galectin-10	Q05315
505	3033-57_1	Galectin-2	P05162
506	3066-12_1	Galectin-3	P17931
507	5000-52_1	Galectin-3-binding protein	Q08380
508	2982-82_2	Galectin-4	P56470
509	9196-8_3	Galectin-7	P47929
510	4909-68_1	Galectin-8	O00214
511	9197-4_3	Galectin-9	O00182
512	10339-48_3	Gamma-enolase	P09104
513	5897-58_3	Gastrin-releasing peptide	P07492
514	3314-74_2	GDNF family receptor alpha-1	P56159
515	2515-14_3	GDNF family receptor alpha-2	O00451
516	2505-49_3	GDNF family receptor alpha-3	O60609
517	4775-34_3	Gelsolin	P06396
518	3217-74_2	Glia-derived nexin	P07093
519	5822-22_3	Glial cell line-derived neurotrophic factor	P39905
520	3034-1_2	Glial fibrillary acidic protein	P14136
521	4891-50_1	Glucagon	P01275
522	2857-70_2	Glucocorticoid receptor	P04150
523	5223-59_3	Glucokinase regulatory protein	Q14397
524	4272-46_2	Glucose-6-phosphate isomerase	P06744
525	5478-50_2	Glutamate carboxypeptidase 2	Q04609
526	4993-16_1	Glutathione S-transferase A3	Q16772
527	4911-49_2	Glutathione S-transferase P	P09211
528	3848-14_2	Glyceraldehyde-3-phosphate dehydrogenase	P04406
529	11081-1_3	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	P21695
530	3441-64_2	Glycogen synthase kinase-3 alpha/beta	P49840 P49841
531	5196-7_3	Glycylpeptide N-tetradecanoyltransferase 1	P30419
532	3315-15_1	Glypican-2	Q8N158
533	4842-62_2	Glypican-3	P51654
534	4991-12_1	Glypican-5	P78333
535	5350-14_2	Glypican-6	Q9Y625
536	4792-51_2	gp41 C34 peptide, HIV	Q70626
537	4992-49_1	Granulins	P28799
538	4840-73_1	Granulocyte colony-stimulating factor	P09919
539	2719-3_4	Granulocyte colony-stimulating factor receptor	Q99062
540	4697-59_2	Granulocyte-macrophage colony-stimulating factor	P04141
541	3195-50_2	Granulysin	P22749
542	3440-7_2	Granzyme A	P12544
543	4133-54_2	Granzyme B	P10144
544	3373-5_2	Granzyme H	P20718
545	5265-12_3	GRB2-related adapter protein 2	O75791
546	4449-67_3	Gremlin-1	O60565
547	2986-49_2	Gro-beta/gamma	P19876 P19875
548	2949-6_2	Group 10 secretory phospholipase A2	O15496
549	2447-7_4	Group IIE secretory phospholipase A2	Q9NZK7
550	5463-22_3	Growth arrest-specific protein 1	P54826
551	5464-52_3	Growth factor receptor-bound protein 2	P62993
552	2948-58_2	Growth hormone receptor	P10912
553	12060-28_3	Growth/differentiation factor 11	O95390
554	2765-4_3	Growth/differentiation factor 11/8	O95390 O14793
555	4374-45_2	Growth/differentiation factor 15	Q99988
556	4880-21_1	Growth/differentiation factor 2	Q9UK05
557	2752-62_2	Growth/differentiation factor 5	P43026
558	14583-49_3	Growth/differentiation factor 8	O14793
559	3067-67_1	Growth/differentiation factor 9	O60383
560	2985-35_1	Growth-regulated alpha protein	P09341
561	5193-51_3	GTPase KRas	P01116
562	4282-3_2	GTP-binding nuclear protein Ran	P62826
563	3054-3_2	Haptoglobin	P00738
564	4124-24_2	Heat shock 70 kDa protein 1A	P0DMV8
565	5903-91_2	Heat shock cognate 71 kDa protein	P11142
566	11103-24_3	Heat shock protein beta-1	P04792
567	2625-53_4	Heat shock protein HSP 90-alpha/beta	P07900 P08238
568	5467-15_3	Heat shock protein HSP 90-beta	P08238
569	2622-18_1	Heme oxygenase 2	P30519
570	11096-57_3	HemK methyltransferase family member 2	Q9Y5N5
571	4915-64_2	Hemoglobin	P69905, P68871
572	3332-57_1	Hemojuvelin	Q6ZVN8
573	2768-56_2	Hemopexin	P02790
574	5465-32_3	Heparan-sulfate 6-O-sulfotransferase 1	O60243
575	3316-58_1	Heparin cofactor 2	P05546
576	4134-4_2	Heparin-binding EGF-like growth factor	Q99075
577	5134-52_2	Hepatitis A virus cellular receptor 2	Q8TDQ0
578	2681-23_2	Hepatocyte growth factor	P14210
579	3617-80_4	Hepatocyte growth factor activator	Q04756
580	2837-3_2	Hepatocyte growth factor receptor	P08581
581	4407-10_1	Hepatocyte growth factor-like protein	P26927
582	4553-65_3	Hepatoma-derived growth factor-related protein 2	Q7Z4V5
583	3504-58_2	Hepcidin	P81172
584	14132-21_3	HERV-H LTR-associating protein 2	Q9UM44
585	4450-26_2	Heterogeneous nuclear ribonucleoprotein A/B	Q99729
586	4994-178_1	Heterogeneous nuclear ribonucleoprotein K	P61978
587	4224-7_2	Heterogeneous nuclear ribonucleoprotein Q	O60506
588	5351-52_3	Heterogeneous nuclear ribonucleoproteins A2/B1	P22626
589	13131-5_3	Hexokinase-1	P19367
590	13130-150_3	Hexokinase-2	P52789
591	5178-5_3	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A	Q13946
592	5201-50_4	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A	O76083
593	3312-64_1	High affinity immunoglobulin gamma Fc receptor I	P12314
594	3477-63_2	High affinity nerve growth factor receptor	P04629
595	2524-56_3	High mobility group protein B1	P09429
596	5900-11_2	Histidine triad nucleotide-binding protein 1	P49773
597	4996-66_1	Histidine-rich glycoprotein	P04196
598	2865-77_2	Histone acetyltransferase KAT6A	Q92794
599	2858-29_2	Histone acetyltransferase type B catalytic subunit	O14929
600	2859-69_2	Histone deacetylase 8	Q9BY41
601	2987-37_3	Histone H1.2	P16403
602	14144-3_3	Histone H2A type 3	Q7L7L0
603	4163-5_2	Histone H2A.z	P0C0S5
604	14143-8_3	Histone H2B type 2-E	Q16778
605	14146-92_3	Histone H3.1	P68431
606	5843-60_3	Histone-lysine N-methyltransferase EHMT2	Q96KQ7
607	2732-58_3	Homeobox protein NANOG	Q9H9S0
608	3443-61_2	Homeodomain-interacting protein kinase 3	Q9H422
609	3879-50_1	Hsp90 co-chaperone Cdc37	Q16543
610	4914-10_1	Human Chorionic Gonadotropin	P01215,P01233
611	3196-6_2	Hyaluronan and proteoglycan link protein 1	P10915
612	13089-6_3	Hypoxia-inducible factor 1-alpha	Q16665
613	5061-27_3	ICOS ligand	O75144
614	3198-4_1	Iduronate 2-sulfatase	P22304
615	11089-7_3	Immunoglobulin A	P01876 P01877
616	4987-17_1	Immunoglobulin alpha Fc receptor	P24071
617	4916-2_1	Immunoglobulin D	P01880
618	4135-84_2	Immunoglobulin E	P01854
619	2744-57_2	Immunoglobulin G	P01857
620	3069-52_3	Immunoglobulin M	P01871
621	13124-20_3	Immunoglobulin superfamily containing leucine-rich repeat protein 2	Q6UXK2
622	2860-19_2	Importin subunit alpha-1	P52292
623	3887-90_2	Importin subunit beta-1	Q14974
624	10358-33_3	Induced myeloid leukemia cell differentiation protein Mcl-1	Q07820
625	2988-57_2	Inducible T-cell costimulator	Q9Y6W8
626	2748-3_2	Inhibin beta A chain	P08476
627	8467-9_3	Inhibin beta A chain:Inhibin beta B chain heterodimer	P08476 P09529
628	3888-8_1	Inhibitor of growth protein 1	Q9UK53
629	5021-13_1	Inorganic pyrophosphatase	Q15181
630	5229-90_3	Inosine-5'-monophosphate dehydrogenase 1	P20839
631	5250-53_3	Inosine-5'-monophosphate dehydrogenase 2	P12268
632	4883-56_2	Insulin	P01308
633	3448-13_2	Insulin receptor	P06213
634	3197-70_2	Insulin-degrading enzyme	P14735
635	4232-19_2	Insulin-like growth factor 1 receptor	P08069
636	2952-75_2	Insulin-like growth factor I	P05019
637	2771-35_2	Insulin-like growth factor-binding protein 1	P08833
638	8469-41_3	Insulin-like growth factor-binding protein 2	P18065
639	2571-12_3	Insulin-like growth factor-binding protein 3	P17936
640	2950-57_2	Insulin-like growth factor-binding protein 4	P22692
641	2685-21_2	Insulin-like growth factor-binding protein 5	P24593
642	2686-67_2	Insulin-like growth factor-binding protein 6	P24592
643	3320-49_2	Insulin-like growth factor-binding protein 7	Q16270
644	3503-4_2	Integrin alpha-I: beta-1 complex	P56199, P05556
645	8488-33_3	Integrin alpha-IIb: beta-3 complex	P08514 P05106
646	4917-62_1	Integrin alpha-V: beta-5 complex	P06756, P18084
647	4811-33_3	Inter-alpha-trypsin inhibitor heavy chain H4	Q14624
648	4342-10_3	Intercellular adhesion molecule 1	P05362
649	5486-73_3	Intercellular adhesion molecule 2	P13598
650	2649-77_2	Intercellular adhesion molecule 3	P32942
651	5124-69_3	Intercellular adhesion molecule 5	Q9UMF0
652	9183-7_3	Interferon alpha/beta receptor 1	P17181
653	14128-121_3	Interferon alpha-10	P01566
654	3497-13_2	Interferon alpha-2	P01563
655	14129-1_3	Interferon alpha-7	P01567
656	14127-240_3	Interferon beta	P01574
657	14147-50_3	Interferon gamma	P01579
658	5825-49_3	Interferon gamma receptor 1	P15260
659	9180-6_3	Interferon gamma receptor 2	P38484
660	4396-54_1	Interferon lambda-1	Q8IU54
661	4397-26_2	Interferon lambda-2	Q8IZJ0
662	10351-51_3	Interferon regulatory factor 1	P10914
663	4851-25_1	Interleukin-1 alpha	P01583
664	3037-62_1	Interleukin-1 beta	P01584
665	2630-12_2	Interleukin-1 Receptor accessory protein	Q9NPH3
666	5353-89_2	Interleukin-1 receptor antagonist protein	P18510
667	2991-9_2	Interleukin-1 receptor type 1	P14778
668	14133-93_3	Interleukin-1 receptor type 2	P27930
669	4234-8_2	Interleukin-1 receptor-like 1	Q01638
670	2994-71_2	Interleukin-1 receptor-like 2	Q9HB29
671	2773-50_2	Interleukin-10	P22301
672	10344-334_3	Interleukin-10 receptor subunit alpha	Q13651
673	2631-50_2	Interleukin-10 receptor subunit beta	Q08334
674	4493-92_1	Interleukin-11	P20809
675	10367-62_3	Interleukin-12	P29459,  P29460
676	2632-5_2	Interleukin-12 receptor subunit beta-1	P42701
677	3815-14_1	Interleukin-12 receptor subunit beta-2	Q99665
678	3072-4_2	Interleukin-13	P35225
679	2633-52_2	Interleukin-13 receptor subunit alpha-1	P78552
680	3445-53_2	Interleukin-15 receptor subunit alpha	Q13261
681	2774-10_3	Interleukin-16	Q14005
682	2992-59_2	Interleukin-17 receptor A	Q96F46
683	5084-154_3	Interleukin-17 receptor B	Q9NRM6
684	5468-67_3	Interleukin-17 receptor C	Q8NAC3
685	3376-49_2	Interleukin-17 receptor D	Q8NFM7
686	9170-24_3	Interleukin-17A	Q16552
687	3499-77_2	Interleukin-17B	Q9UHF5
688	4136-40_2	Interleukin-17D	Q8TAD2
689	2775-54_2	Interleukin-17F	Q96PD4
690	3446-7_2	Interleukin-18 receptor 1	Q13478
691	2993-1_2	Interleukin-18 receptor accessory protein	O95256
692	3073-51_2	Interleukin-18-binding protein	O95998
693	3035-80_2	Interleukin-19	Q9UHD0
694	3070-1_2	Interleukin-2	P60568
695	3151-6_1	Interleukin-2 receptor subunit alpha	P01589
696	4138-25_2	Interleukin-20	Q9NYY1
697	5085-18_3	Interleukin-20 receptor subunit alpha	Q9UHF4
698	2778-10_2	Interleukin-22	Q9GZX6
699	3620-67_2	Interleukin-22 receptor subunit alpha-1	Q8N6P7
700	5087-5_3	Interleukin-22 receptor subunit alpha-2	Q969J5
701	10365-132_3	Interleukin-23	P29460, Q9NPF7
702	5088-175_3	Interleukin-23 receptor	Q5VWK5
703	3321-2_2	Interleukin-24	Q13007
704	4137-57_2	Interleukin-25	Q9H293
705	2829-19_2	Interleukin-27	Q8NEV9 Q14213
706	5132-71_3	Interleukin-27 receptor subunit alpha	Q6UWB1
707	4717-55_2	Interleukin-3	P08700
708	4490-65_2	Interleukin-3 receptor subunit alpha	P26951
709	4556-10_2	Interleukin-34	Q6ZMJ4
710	14150-7_3	Interleukin-36 alpha	Q9UHA7
711	14149-9_3	Interleukin-36 beta	Q9NZH7
712	2723-9_2	Interleukin-37	Q9NZH6
713	2906-55_3	Interleukin-4	P05112
714	3055-54_2	Interleukin-4 receptor subunit alpha	P24394
715	11071-1_3	Interleukin-5	P05113
716	4491-4_2	Interleukin-5 receptor subunit alpha	Q01344
717	4673-13_2	Interleukin-6	P05231
718	4139-71_2	Interleukin-6 receptor subunit alpha	P08887
719	2620-4_2	Interleukin-6 receptor subunit beta	P40189
720	4140-3_2	Interleukin-7	P13232
721	5089-11_3	Interleukin-7 receptor subunit alpha	P16871
722	3447-64_2	Interleukin-8	P10145
723	5834-18_3	Interleukin-9	P15248
724	4924-32_1	Interstitial collagenase	P03956
725	2997-8_1	Junctional adhesion molecule B	P57087
726	2998-53_2	Junctional adhesion molecule C	Q9BX67
727	5094-62_3	Junctional adhesion molecule-like	Q86YT9
728	2831-29_1	Kallikrein-11	Q9UBX7
729	3199-54_2	Kallikrein-12	Q9UKR0
730	3200-49_2	Kallikrein-13	Q9UKR3
731	3681-87_3	Kallikrein-14	Q9P0G3
732	2833-20_1	Kallikrein-4	Q9Y5K2
733	3201-49_2	Kallikrein-5	Q9Y337
734	3450-4_2	Kallikrein-6	Q92876
735	3378-49_2	Kallikrein-7	P49862
736	2834-54_1	Kallikrein-8	O60259
737	3449-58_2	Kallistatin	P29622
738	8485-7_3	Kelch-like ECH-associated protein 1	Q14145
739	5354-11_3	Keratin, type I cytoskeletal 18	P05783
740	5095-21_3	Killer cell immunoglobulin-like receptor 2DL4	Q99706
741	5096-51_3	Killer cell immunoglobulin-like receptor 3DL2	P43630
742	5097-14_3	Killer cell immunoglobulin-like receptor 3DS1	Q14943
743	5098-79_3	Killer cell lectin-like receptor subfamily F member 1	Q9NZS2
744	4557-61_2	Kin of IRRE-like protein 3	Q8IZU9
745	5228-25_2	Kinesin-like protein KIF23	Q02241
746	4495-33_2	Kininogen-1	P01042
747	3202-28_2	Kremen protein 2	Q8NCW0
748	2828-82_2	Kunitz-type protease inhibitor 1	O43278
749	2843-13_2	Kunitz-type protease inhibitor 2	O43291
750	4559-64_2	Kynureninase	Q16719
751	4455-89_2	Lactadherin	Q08431
752	4801-13_3	Lactoperoxidase	P22079
753	2780-35_2	Lactotransferrin	P02788
754	3889-64_2	Lamin-B1	P20700
755	2728-62_2	Laminin	P25391, P07942, P11047
756	13133-73_3	Latent-transforming growth factor beta-binding protein 4	Q8N2S1
757	2635-61_2	Layilin	Q6UX15
758	3622-33_4	Legumain	Q99538
759	8484-24_3	Leptin	P41159
760	5400-52_3	Leptin receptor	P48357
761	4237-70_3	Leucine carboxyl methyltransferase 1	Q9UIC8
762	10990-21_3	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007
763	4452-9_2	Leucine-rich repeat transmembrane neuronal protein 1	Q86UE6
764	4453-83_3	Leucine-rich repeat transmembrane neuronal protein 3	Q86VH5
765	4547-59_2	Leucine-rich repeat transmembrane protein FLRT1	Q9NZU1
766	13122-19_3	Leucine-rich repeat transmembrane protein FLRT2	O43155
767	13123-3_3	Leucine-rich repeat transmembrane protein FLRT3	Q9NZU0
768	3322-52_2	Leucine-rich repeats and immunoglobulin-like domains protein 3	Q6UXM1
769	5837-49_3	Leukemia inhibitory factor receptor	P42702
770	5090-49_2	Leukocyte immunoglobulin-like receptor subfamily B member 1	Q8NHL6
771	5091-28_3	Leukocyte immunoglobulin-like receptor subfamily B member 2	Q8N423
772	6653-58_3	Leukocyte surface antigen CD47	Q08722
773	3204-2_2	Leukotriene A-4 hydrolase	P09960
774	4304-18_2	Ligand-dependent nuclear receptor corepressor-like protein	Q8N3X6
775	2999-6_2	Limbic system-associated membrane protein	Q13449
776	3074-6_2	Lipopolysaccharide-binding protein	P18428
777	13095-51_3	Lithostathine-1-alpha	P05451
778	3890-8_2	L-lactate dehydrogenase B chain	P07195
779	3291-30_2	Low affinity immunoglobulin epsilon Fc receptor	P06734
780	3309-2_2	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318
781	3310-62_1	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994
782	3311-27_1	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015
783	3858-5_1	Low molecular weight phosphotyrosine protein phosphatase	P24666
784	13129-40_3	Low-density lipoprotein receptor	P01130
785	9182-3_3	Low-density lipoprotein receptor-related protein 1, soluble	Q07954
786	7640-29_3	Low-density lipoprotein receptor-related protein 1B	Q9NZR2
787	3323-37_1	Low-density lipoprotein receptor-related protein 8	Q14114
788	4831-4_2	L-Selectin	P14151
789	13114-50_3	Lumican	P51884
790	2953-31_2	Luteinizing hormone	P01215, P01229
791	13107-9_3	Ly6/PLAUR domain-containing protein 3	O95274
792	3206-4_2	Lymphatic vessel endothelial hyaluronic acid receptor 1	Q9Y5Y7
793	5099-14_3	Lymphocyte activation gene 3 protein	P18627
794	3623-84_4	Lymphocyte antigen 86	O95711
795	4143-74_2	Lymphotactin	P47992
796	3505-6_2	Lymphotoxin alpha1:beta2	P01374, Q06643
797	3506-49_1	Lymphotoxin alpha2:beta1	P01374, Q06643
798	4703-87_2	Lymphotoxin-alpha	P01374
799	3179-51_2	Lysosomal protective protein	P10619
800	5100-53_3	Lysosome membrane protein 2	Q14108
801	4920-10_1	Lysozyme C	P61626
802	3738-54_4	Macrophage colony-stimulating factor 1	P09603
803	2638-12_2	Macrophage colony-stimulating factor 1 receptor	P07333
804	2637-77_2	Macrophage mannose receptor 1	P22897
805	4496-60_2	Macrophage metalloelastase	P39900
806	5356-2_3	Macrophage migration inhibitory factor	P14174
807	3684-78_3	Macrophage scavenger receptor types I and II	P21757
808	4968-50_1	Macrophage-capping protein	P40121
809	2640-3_2	Macrophage-stimulating protein receptor	Q04912
810	3853-56_1	Malate dehydrogenase, cytoplasmic	P40925
811	5001-6_2	Mammaglobin-B	O75556
812	3605-77_4	Mannan-binding lectin serine protease 1	P48740
813	3000-66_1	Mannose-binding protein C	P11226
814	3820-68_2	MAP kinase-activated protein kinase 2	P49137
815	3822-54_2	MAP kinase-activated protein kinase 3	Q16644
816	3821-28_1	MAP kinase-activated protein kinase 5	Q8IW41
817	2475-1_3	Mast/stem cell growth factor receptor Kit	P10721
818	3325-2_2	Matrilin-2	O00339
819	3208-2_4	Matrilin-3	O15232
820	2789-26_2	Matrilysin	P09237
821	3209-69_1	Matrix extracellular phosphoglycoprotein	Q9NQ76
822	5002-76_1	Matrix metalloproteinase-14	P50281
823	5268-49_3	Matrix metalloproteinase-16	P51512
824	2838-53_1	Matrix metalloproteinase-17	Q9ULZ9
825	2579-17_5	Matrix metalloproteinase-9	P14780
826	5470-69_2	Mediator of RNA polymerase II transcription subunit 1	Q15648
827	3823-9_1	Megakaryocyte-associated tyrosine-protein kinase	P42679
828	2687-2_1	Melanoma-derived growth regulatory protein	Q16674
829	3685-53_1	Membrane frizzled-related protein	Q9BY79
830	3627-71_4	Membrane metallo-endopeptidase-like 1	Q495T6
831	3893-64_1	Mesothelin	Q13421
832	2211-9_6	Metalloproteinase inhibitor 1	P01033
833	2278-61_4	Metalloproteinase inhibitor 2	P16035
834	2480-58_3	Metalloproteinase inhibitor 3	P35625
835	3210-1_2	Methionine aminopeptidase 1	P53582
836	3170-6_1	Methionine aminopeptidase 2	P50579
837	3891-56_1	Methyl-CpG-binding domain protein 4	O95243
838	2730-58_2	MHC class I polypeptide-related sequence A	Q29983
839	5102-55_3	MHC class I polypeptide-related sequence B	Q29980
840	5854-60_3	Microtubule-associated protein tau	P10636
841	2911-27_2	Midkine	P21741
842	5280-68_5	Mitochondrial glutamate carrier 2	Q9H1K4
843	4545-53_3	Mitochondrial import inner membrane translocase subunit TIM14	Q96DA6
844	3115-64_2	Mitogen-activated protein kinase 1	P28482
845	5004-69_1	Mitogen-activated protein kinase 11	Q15759
846	5005-4_1	Mitogen-activated protein kinase 12	P53778
847	5006-71_1	Mitogen-activated protein kinase 13	O15264
848	5007-1_1	Mitogen-activated protein kinase 14	Q16539
849	2855-49_2	Mitogen-activated protein kinase 3	P27361
850	3825-18_2	Mitogen-activated protein kinase 8	P45983
851	5244-12_3	Mitogen-activated protein kinase 9	P45984
852	5259-2_3	Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion	O43318 Q15750
853	5009-11_1	Moesin	P26038
854	10364-6_3	Mothers against decapentaplegic homolog 2	Q15796
855	10363-13_3	Mothers against decapentaplegic homolog 3	P84022
856	9176-3_3	Mucin-1	P15941
857	4923-79_1	Muellerian-inhibiting factor	P03971
858	10362-35_3	Myc proto-oncogene protein	P01106
859	3514-49_2	Myeloblastin	P24158
860	3166-92_1	Myeloid cell surface antigen CD33	P20138
861	2580-83_2	Myeloperoxidase	P05164
862	3042-7_2	Myoglobin	P02144
863	7648-9_3	Myosin-binding protein C, slow-type	Q00872
864	3894-15_2	N-acetyl-D-glucosamine kinase	Q9UJ70
865	3616-3_5	N-acetylglucosamine-6-sulfatase	P15586
866	3173-49_2	N-acylethanolamine-hydrolyzing acid amidase	Q02083
867	5030-52_1	NAD-dependent protein deacetylase sirtuin-2	Q8IXJ6
868	2731-29_2	NADPH--cytochrome P450 reductase	P16435
869	3854-24_1	Nascent polypeptide-associated complex subunit alpha	Q13765
870	5104-57_3	Natural cytotoxicity triggering receptor 1	O76036
871	2734-49_4	Natural cytotoxicity triggering receptor 2	O95944
872	3003-29_2	Natural cytotoxicity triggering receptor 3	O14931
873	5063-12_2	Natural killer cell receptor 2B4	Q9BZW8
874	5139-32_3	Netrin receptor UNC5C	O95185
875	5140-56_3	Netrin receptor UNC5D	Q6UXZ4
876	6649-51_3	Netrin-1	O95631
877	3327-27_1	Netrin-4	Q9HB63
878	4498-62_2	Neural cell adhesion molecule 1, 120 kDa isoform	P13591
879	4246-40_2	Neural cell adhesion molecule L1	P32004
880	3601-54_3	Neural cell adhesion molecule L1-like protein	O00533
881	9178-30_3	Neuregulin-1	Q02297
882	14139-16_3	Neuregulin-4	Q8WWG1
883	5110-84_3	Neurexin-1-beta	P58400
884	5111-15_3	Neurexin-3-beta	Q9HDB5
885	4562-1_2	Neurexophilin-1	P58417
886	2944-66_2	Neuroblastoma suppressor of tumorigenicity 1	P41271
887	5107-7_2	Neurogenic locus notch homolog protein 1	P46531
888	5106-52_3	Neurogenic locus notch homolog protein 2	Q04721
889	5108-72_3	Neurogenic locus notch homolog protein 3	Q9UM47
890	5357-60_3	Neuroligin-4, X-linked	Q8N0W4
891	5109-24_3	Neuronal cell adhesion molecule	Q92823
892	13109-82_3	Neuronal growth regulator 1	Q7Z3B1
893	5542-22_2	Neuropilin-1	O14786
894	4145-58_2	Neurotrophin-3	P20783
895	4146-58_2	Neurotrophin-4	P34130
896	3212-30_3	Neutral ceramidase	Q9NR71
897	9172-69_3	Neutrophil collagenase	P22894
898	5308-89_2	Neutrophil elastase	P08246
899	2836-68_2	Neutrophil gelatinase-associated lipocalin	P80188
900	2790-54_2	Neutrophil-activating peptide 2	P02775
901	5011-11_1	Nicotinamide phosphoribosyltransferase	P43490
902	3213-65_2	Nidogen-1	P14543
903	3633-70_5	Nidogen-2	Q14112
904	3081-70_2	NKG2D ligand 1	Q9BZM6
905	3082-9_2	NKG2D ligand 2	Q9BZM5
906	2747-3_2	NKG2D ligand 3	Q9BZM4
907	3056-11_1	NKG2-D type II integral membrane protein	P26718
908	5846-24_3	Noggin	Q13253
909	9187-2_3	Non-histone chromosomal protein HMG-14	P05114
910	5260-80_3	Non-receptor tyrosine-protein kinase TYK2	P29597
911	4250-23_3	NSFL1 cofactor p47	Q9UNZ2
912	2658-27_1	NT-3 growth factor receptor	Q16288
913	7655-11_3	N-terminal pro-BNP	P16860
914	5236-2_3	Nuclear receptor subfamily 1 group D member 1	P20393
915	5909-51_3	Nucleoside diphosphate kinase A	P15531
916	4249-64_2	Nucleoside diphosphate kinase B	P22392
917	4254-6_2	NudC domain-containing protein 3	Q8IVD9
918	3635-76_4	OCIA domain-containing protein 1	Q9NX40
919	4769-10_3	Olfactomedin-4	Q6UX06
920	2693-20_3	Oncostatin-M	P13725
921	3634-5_4	Opioid-binding protein/cell adhesion molecule	Q14982
922	11067-13_3	Osteocalcin	P02818
923	5358-3_3	Osteomodulin	Q99983
924	13113-7_3	Osteopontin	P10451
925	5112-73_3	OX-2 membrane glycoprotein	P41217
926	3636-37_4	Oxidized low-density lipoprotein receptor 1	P78380
927	4588-1_2	Pancreatic hormone	P01298
928	4148-49_2	Pappalysin-1	Q13219
929	5954-62_3	Parathyroid hormone	P01270
930	2962-50_2	Parathyroid hormone-related protein	P12272
931	3727-35_1	Peptide YY	P10082
932	3329-14_2	Peptidoglycan recognition protein 1	O75594
933	3844-2_1	Peptidyl-prolyl cis-trans isomerase A	P62937
934	4718-5_2	Peptidyl-prolyl cis-trans isomerase B	P23284
935	5202-4_3	Peptidyl-prolyl cis-trans isomerase D	Q08752
936	5238-26_3	Peptidyl-prolyl cis-trans isomerase E	Q9UNP9
937	5248-68_2	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405
938	3457-57_1	Periostin	Q15063
939	3855-56_1	Peroxiredoxin-1	Q06830
940	5017-19_1	Peroxiredoxin-5, mitochondrial	P30044
941	5018-68_1	Peroxiredoxin-6	P30041
942	5915-58_3	Peroxisomal targeting signal 1 receptor	P50542
943	2696-87_2	Persephin	O60542
944	3847-56_2	Persulfide dioxygenase ETHE1, mitochondrial	O95571
945	4267-81_3	Pescadillo homolog	O00541
946	4276-10_2	Phosphatidylethanolamine-binding protein 1	P30086
947	3831-21_1	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	P60484
948	3391-10_2	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	P48736
949	9173-21_3	Phosphoglucomutase-1	P36871
950	5020-50_1	Phosphoglycerate kinase 1	P00558
951	3896-5_2	Phosphoglycerate mutase 1	P18669
952	4910-21_1	Phospholipase A2	P04054
953	2692-74_2	Phospholipase A2, membrane associated	P14555
954	9211-19_3	Pigment epithelium-derived factor	P36955
955	3390-72_2	PIK3CA/PIK3R1	P42336 P27986
956	14114-18_3	PILR alpha-associated neural protein	Q8IYJ0
957	8446-4_3	Pituitary adenylate cyclase-activating polypeptide 27	P18509
958	8450-36_3	Pituitary adenylate cyclase-activating polypeptide 38	P18509
959	3078-1_2	Placenta growth factor	P49763
960	4152-58_2	Plasma kallikrein	P03952
961	4479-14_2	Plasma protease C1 inhibitor	P05155
962	3389-7_2	Plasma serine protease inhibitor	P05154
963	4150-75_2	Plasmin	P00747
964	4151-6_2	Plasminogen	P00747
965	2925-9_1	Plasminogen activator inhibitor 1	P05121
966	2695-25_1	Platelet endothelial cell adhesion molecule	P16284
967	2697-7_2	Platelet factor 4	P02776
968	2973-15_2	Platelet glycoprotein 4	P16671
969	4990-87_1	Platelet glycoprotein Ib alpha chain	P07359
970	3194-36_2	Platelet glycoprotein VI	Q9HCN6
971	14123-34_3	Platelet receptor Gi24	Q9H7M9
972	5015-15_1	Platelet-activating factor acetylhydrolase	Q13093
973	2642-4_1	Platelet-activating factor acetylhydrolase IB subunit beta	P68402
974	3828-54_2	Platelet-derived growth factor C	Q9NRA1
975	10366-11_3	Platelet-derived growth factor receptor alpha	P16234
976	3459-49_2	Platelet-derived growth factor receptor beta	P09619
977	4499-21_1	Platelet-derived growth factor subunit A	P04085
978	4149-8_2	Platelet-derived growth factor subunit B	P01127
979	3045-72_2	Pleiotrophin	P21246
