chr	start	end	ensGene	UniProt	symbol	TargetFullName	extGene	Target	UniProts	SOMAMER_ID
10	73507316	73533255	ENSG00000107738	Q9H7M9	C10orf54	Platelet receptor Gi24	C10orf54	GI24	Q9H7M9	C10orf54.14123.34.3
10	73724123	73773322	ENSG00000122863	Q7LGC8	CHST3	Carbohydrate sulfotransferase 3	CHST3	CHST3	Q7LGC8	CHST3.7189.55.3
10	73818793	73848790	ENSG00000107742	Q92563	SPOCK2	Testican-2	SPOCK2	Testican-2	Q92563	SPOCK2.5491.12.3
10	73856278	73976892	ENSG00000138303	Q8N9N2	ASCC1	Activating signal cointegrator 1 complex subunit 1	ASCC1	ASCC1	Q8N9N2	ASCC1.10647.18.3
10	74092588	74114988	ENSG00000148719	Q9NXW2	DNAJB12	DnaJ homolog subfamily B member 12	DNAJB12	DJB12	Q9NXW2	DNAJB12.8006.12.3
10	74694928	74714536	ENSG00000138308	Q9BX93	PLA2G12B	Group XIIB secretory phospholipase A2-like protein	PLA2G12B	sPLA(2)-XIII	Q9BX93	PLA2G12B.9380.2.3
10	74766975	74856732	ENSG00000122884	P13674	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	P4HA1	P13674	P4HA1.11645.9.3
10	75668935	75677255	ENSG00000122861	P00749	PLAU	Urokinase-type plasminogen activator	PLAU	uPA	P00749	PLAU.4158.54.2
10	75757872	75879918	ENSG00000035403	P18206	VCL	Vinculin	VCL	Vinculin	P18206	VCL.8750.46.3
10	76854192	76868979	ENSG00000079393	Q6B8I1	DUSP13	Dual specificity protein phosphatase 13 isoform A	DUSP13	DUSP13	Q6B8I1	DUSP13.6525.17.3
10	81697496	81742370	ENSG00000133661	P35247	SFTPD	Pulmonary surfactant-associated protein D	SFTPD	SP-D	P35247	SFTPD.4414.69.2
10	82167585	82192753	ENSG00000122378	Q9BRX8	FAM213A	Redox-regulatory protein FAM213A	FAM213A	CJ058	Q9BRX8	FAM213A.13423.94.3
10	85954410	85979377	ENSG00000148600	Q96JP9	CDHR1	Cadherin-related family member 1	CDHR1	CDHR1	Q96JP9	CDHR1.8372.29.3
10	85980254	85985345	ENSG00000204033	A6NDA9	LRIT2	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2	LRIT2	LRIT2	A6NDA9	LRIT2.11716.28.3
10	88516407	88692595	ENSG00000107779	P36894	BMPR1A	Bone morphogenetic protein receptor type-1A	BMPR1A	BMPR1A	P36894	BMPR1A.4859.6.1
10	88695297	88729238	ENSG00000173269	Q9H8L6	MMRN2	Multimerin-2	MMRN2	EMILIN-3	Q9H8L6	MMRN2.11895.21.3
10	88695297	88729238	ENSG00000173269	Q9H8L6	MMRN2	Multimerin-2	MMRN2	EMILIN-3	Q9H8L6	MMRN2.9723.105.3
10	89264632	89313217	ENSG00000107789	Q9UNW1	MINPP1	Multiple inositol polyphosphate phosphatase 1	MINPP1	MINP1	Q9UNW1	MINPP1.5586.66.3
10	89511269	89601100	ENSG00000138138	Q8NBU5	ATAD1	ATPase family AAA domain-containing protein 1	ATAD1	ATAD1	Q8NBU5	ATAD1.6625.31.3
10	89622870	89731687	ENSG00000171862	P60484	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	pTEN	P60484	PTEN.3831.21.1
10	90424198	90438571	ENSG00000182333	P07098	LIPF	Gastric triacylglycerol lipase	LIPF	LIPG	P07098	LIPF.9353.8.3
10	90484301	90512543	ENSG00000204021	Q5VXJ0	LIPK	Lipase member K	LIPK	LIPK	Q5VXJ0	LIPK.6413.79.3
10	90521163	90537999	ENSG00000204020	Q5VXI9	LIPN	Lipase member N	LIPN	LIPN	Q5VXI9	LIPN.8097.77.3
10	90639491	90734910	ENSG00000138134	Q96FJ0	STAMBPL1	AMSH-like protease	STAMBPL1	STALP	Q96FJ0	STAMBPL1.12401.3.3
10	90750414	90775542	ENSG00000026103	P25445	FAS	Tumor necrosis factor receptor superfamily member 6	FAS	Fas, soluble	P25445	FAS.5392.73.2
10	90750414	90775542	ENSG00000026103	P25445	FAS	Tumor necrosis factor receptor superfamily member 6	FAS	Fas, soluble	P25445	FAS.9218.7.3
10	90750414	90775542	ENSG00000026103	P25445	FAS	Tumor necrosis factor receptor superfamily member 6	FAS	Fas, soluble	P25445	FAS.9459.7.3
10	91061712	91069033	ENSG00000119922	P09913	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	IFIT2	P09913	IFIT2.9853.3.3
10	91087651	91100728	ENSG00000119917	O14879	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3	CIG49	O14879	IFIT3.13642.90.3
10	94211441	94333833	ENSG00000119912	P14735	IDE	Insulin-degrading enzyme	IDE	IDE	P14735	IDE.3197.70.2
10	95351444	95361501	ENSG00000138207	P02753	RBP4	Retinol-binding protein 4	RBP4	RBP	P02753	RBP4.5482.61.3
10	97471536	97637023	ENSG00000138185	P49961	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1	CD39	P49961	ENTPD1.3182.38.2
10	97471536	97637023	ENSG00000138185	P49961	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1	CD39	P49961	ENTPD1.7999.23.3
10	98102973	98119092	ENSG00000197430	Q96PE5	OPALIN	Opalin	OPALIN	OPALI	Q96PE5	OPALIN.7736.28.3
10	99195899	99205774	ENSG00000171311	Q9Y3B2	EXOSC1	Exosome complex component CSL4	EXOSC1	EXOS1	Q9Y3B2	EXOSC1.7930.3.3
10	99344080	99372559	ENSG00000241935	Q86XE5	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	HOGA1	Q86XE5	HOGA1.10024.44.3
10	99496878	99520664	ENSG00000155256	Q5T4F4	ZFYVE27	Protrudin	ZFYVE27	ZFY27	Q5T4F4	ZFYVE27.9102.28.3
10	101156627	101190381	ENSG00000120053	P17174	GOT1	Aspartate aminotransferase, cytoplasmic	GOT1	GOT1	P17174	GOT1.4912.17.1
10	101909851	101948091	ENSG00000107566	O75477	ERLIN1	Erlin-1	ERLIN1	ERLN1	O75477	ERLIN1.8776.10.3
10	102267203	102289757	ENSG00000166136	O95169	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	NDUFB8	NDUB8	O95169	NDUFB8.9800.20.3
10	103529899	103535854	ENSG00000107831	P55075	FGF8	Fibroblast growth factor 8 isoform B	FGF8	FGF-8B	P55075	FGF8.2443.10.4
10	103529899	103535854	ENSG00000107831	P55075	FGF8	Fibroblast growth factor 8 isoform A	FGF8	FGF-8A	P55075	FGF8.4394.71.2
10	104162376	104181296	ENSG00000059915	A5PKW4	PSD	PH and SEC7 domain-containing protein 1	PSD	PSD1	A5PKW4	PSD.13055.53.3
10	104433488	104474164	ENSG00000138175	P36405	ARL3	ADP-ribosylation factor-like protein 3	ARL3	ARL3	P36405	ARL3.12571.14.3
10	104503727	104576021	ENSG00000166272	Q9NX94	WBP1L	WW domain binding protein 1-like	WBP1L	WBP1L	Q9NX94	WBP1L.9532.5.3
10	105036920	105050108	ENSG00000148798	Q16352	INA	Alpha-internexin	INA	AINX	Q16352	INA.11436.6.3
10	105253736	105352309	ENSG00000107954	O76050	NEURL1	E3 ubiquitin-protein ligase NEURL1	NEURL1	NEUL1	O76050	NEURL1.13604.27.3
10	105995114	106027217	ENSG00000148834	P78417	GSTO1	Glutathione S-transferase omega-1	GSTO1	GST omega-1	P78417	GSTO1.12436.84.3
10	111624524	111683311	ENSG00000108039	Q9NQW7	XPNPEP1	Xaa-Pro aminopeptidase 1	XPNPEP1	XPNPEP1	Q9NQW7	XPNPEP1.3481.87.1
10	111967363	112047123	ENSG00000119950	P50539	MXI1	MAX-interacting protein 1	MXI1	MXI1	P50539	MXI1.9035.2.3
10	112327449	112364394	ENSG00000108055	Q9UQE7	SMC3	Structural maintenance of chromosomes protein 3	SMC3	CSPG6	Q9UQE7	SMC3.14324.52.3
10	114206756	114578503	ENSG00000151532	Q96AJ9	VTI1A	Vesicle transport through interaction with t-SNAREs homolog 1A	VTI1A	VTI1A	Q96AJ9	VTI1A.7952.2.3
10	117816444	118032979	ENSG00000151892	P56159	GFRA1	GDNF family receptor alpha-1	GFRA1	GFRa-1	P56159	GFRA1.3314.74.2
10	118349897	118368687	ENSG00000187021	P54315	PNLIPRP1	Inactive pancreatic lipase-related protein 1	PNLIPRP1	LIPR1	P54315	PNLIPRP1.6627.25.3
10	118349897	118368687	ENSG00000262273	P54315	PNLIPRP1	Inactive pancreatic lipase-related protein 1	PNLIPRP1	LIPR1	P54315	PNLIPRP1.6627.25.3
10	121259340	121302220	ENSG00000148908	O43665	RGS10	Regulator of G-protein signaling 10	RGS10	RGS10	O43665	RGS10.11634.32.3
10	121410882	121437331	ENSG00000151929	O95817	BAG3	BAG family molecular chaperone regulator 3	BAG3	BAG3	O95817	BAG3.10078.5.3
10	122216466	122349367	ENSG00000203805	Q5VZY2	PPAPDC1A	Phosphatidate phosphatase PPAPDC1A	PPAPDC1A	PPC1A	Q5VZY2	PPAPDC1A.13548.53.3
10	123237848	123357972	ENSG00000066468	P21802	FGFR2	Fibroblast growth factor receptor 2	FGFR2	FGFR-2	P21802	FGFR2.3808.76.2
10	124134212	124191867	ENSG00000107679	Q9HB21	PLEKHA1	Pleckstrin homology domain-containing family A member 1	PLEKHA1	PKHA1	Q9HB21	PLEKHA1.12459.13.3
10	124591665	124639146	ENSG00000138161	Q86UP6	CUZD1	CUB and zona pellucida-like domain-containing protein 1	CUZD1	CUZD1	Q86UP6	CUZD1.7943.16.3
10	124608594	124639157	ENSG00000213185	Q8N5W8	FAM24B	Protein FAM24B	FAM24B	FA24B	Q8N5W8	FAM24B.8775.61.3
10	125425871	125454123	ENSG00000154478	Q8NDV2	GPR26	G-protein coupled receptor 26	GPR26	GPR26	Q8NDV2	GPR26.13540.1.3
10	125767184	125853206	ENSG00000182022	Q7LFX5	CHST15	Carbohydrate sulfotransferase 15	CHST15	ST4S6	Q7LFX5	CHST15.14097.86.3
10	125767184	125853206	ENSG00000182022	Q7LFX5	CHST15	Carbohydrate sulfotransferase 15	CHST15	ST4S6	Q7LFX5	CHST15.4469.78.2
10	126490354	126525239	ENSG00000165660	Q15018	FAM175B	BRISC complex subunit Abro1	FAM175B	F175B	Q15018	FAM175B.8945.7.3
10	127477146	127511817	ENSG00000188690	P10746	UROS	Uroporphyrinogen-III synthase	UROS	HEM4	P10746	UROS.11248.43.3
10	127700950	128077024	ENSG00000148848	O43184	ADAM12	Disintegrin and metalloproteinase domain-containing protein 12	ADAM12	ADAM12	O43184	ADAM12.4420.7.2
10	129347613	129350935	ENSG00000214285	P0C0P6	NPS	Neuropeptide S	NPS	NPS	P0C0P6	NPS.6390.18.3
10	133781578	133795435	ENSG00000176171	Q12983	BNIP3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3	BNIP3	Q12983	BNIP3.7045.4.3
10	133918175	133998313	ENSG00000188385	Q5VZ66	JAKMIP3	Janus kinase and microtubule-interacting protein 3	JAKMIP3	JKIP3	Q5VZ66	JAKMIP3.9068.17.3
10	135138927	135150475	ENSG00000130643	Q9NYX4	CALY	Neuron-specific vesicular protein calcyon	CALY	CALY	Q9NYX4	CALY.10671.67.3
11	167784	207428	ENSG00000177951	Q9NYM9	BET1L	BET1-like protein	BET1L	BET1L	Q9NYM9	BET1L.10959.125.3
11	193080	194573	ENSG00000188076	Q8TD33	SCGB1C1	Secretoglobin family 1C member 1	SCGB1C1	SG1C1	Q8TD33	SCGB1C1.5960.49.3
11	405716	417455	ENSG00000185187	Q6IA17	SIGIRR	Single Ig IL-1-related receptor	SIGIRR	SIGIRR	Q6IA17	SIGIRR.8326.63.3
11	616565	626078	ENSG00000099834	Q9HBB8	CDHR5	Cadherin-related family member 5	CDHR5	MUCDL	Q9HBB8	CDHR5.9962.1.3
11	644233	706715	ENSG00000177030	O75398	DEAF1	Deformed epidermal autoregulatory factor 1 homolog	DEAF1	DEAF1	O75398	DEAF1.6369.82.3
11	809647	812880	ENSG00000177600	P05387	RPLP2	60S acidic ribosomal protein P2	RPLP2	RLA2	P05387	RPLP2.10949.59.3
11	1295601	1330884	ENSG00000078902	Q9H0E2	TOLLIP	Toll-interacting protein	TOLLIP	tollip	Q9H0E2	TOLLIP.13963.7.3
11	1411129	1483919	ENSG00000174672	Q8IWQ3	BRSK2	Serine/threonine-protein kinase BRSK2	BRSK2	BR serine/threonine kinase 2	Q8IWQ3	BRSK2.9790.28.3
11	1848709	1858751	ENSG00000149043	Q8NBV8	SYT8	Synaptotagmin-8	SYT8	SYT8	Q8NBV8	SYT8.7932.23.3
11	2181009	2182571	ENSG00000254647	P01308	INS	Insulin	INS	Insulin	P01308	INS.4883.56.2
11	3022152	3078843	ENSG00000110619	P49589	CARS	Cysteine--tRNA ligase, cytoplasmic	CARS	SYCC	P49589	CARS.14098.28.3
11	3848208	3862213	ENSG00000177105	P84095	RHOG	Rho-related GTP-binding protein RhoG	RHOG	RHOG	P84095	RHOG.12540.25.3
11	3875757	4114439	ENSG00000167323	Q13586	STIM1	Stromal interaction molecule 1	STIM1	STIM1	Q13586	STIM1.9271.101.3
11	4115937	4160106	ENSG00000167325	P23921	RRM1	Ribonucleoside-diphosphate reductase large subunit	RRM1	RRM1	P23921	RRM1.11360.39.3
11	5269313	5271122	ENSG00000213934	P69891	HBG1	Hemoglobin subunit gamma-1	HBG1	HBG1	P69891	HBG1.10665.30.3
11	6416355	6440644	ENSG00000166313	O00213	APBB1	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	APBB1	O00213	APBB1.12822.34.3
11	6416355	6440644	ENSG00000166313	O00213	APBB1	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	APBB1	O00213	APBB1.14206.28.3
11	6496910	6502666	ENSG00000132254	P53365	ARFIP2	Arfaptin-2	ARFIP2	ARFP2	P53365	ARFIP2.12630.8.3
11	7980971	7986973	ENSG00000182261	Q86W26	NLRP10	NACHT, LRR and PYD domains-containing protein 10	NLRP10	NAL10	Q86W26	NLRP10.12821.6.3
11	8127597	8190602	ENSG00000166405	Q7Z5B4	RIC3	Protein RIC-3	RIC3	RIC3	Q7Z5B4	RIC3.11228.37.3
11	8127597	8190602	ENSG00000166405	Q7Z5B4	RIC3	Protein RIC-3	RIC3	RIC3	Q7Z5B4	RIC3.7125.4.3
11	9302201	9336327	ENSG00000166471	Q5BJD5	TMEM41B	Transmembrane protein 41B	TMEM41B	TM41B	Q5BJD5	TMEM41B.10661.4.3
11	9685624	9774538	ENSG00000133789	Q9UH65	SWAP70	Switch-associated protein 70	SWAP70	SWP70	Q9UH65	SWAP70.13552.7.3
11	10326227	10328944	ENSG00000148926	P35318	ADM	Adrenomedullin	ADM	Adrenomedullin	P35318	ADM.14115.34.3
11	10594638	10715535	ENSG00000072952	Q9Y6F6	MRVI1	Protein MRVI1	MRVI1	MRVI1	Q9Y6F6	MRVI1.8255.34.3
11	11984653	12031316	ENSG00000050165	Q9UBP4	DKK3	Dickkopf-related protein 3	DKK3	DKK3	Q9UBP4	DKK3.3607.71.6
11	12398732	12552348	ENSG00000197702	Q9NVD7	PARVA	Alpha-parvin	PARVA	PARVA	Q9NVD7	PARVA.13434.172.3
11	13513602	13517728	ENSG00000152266	P01270	PTH	Parathyroid hormone	PTH	PTH	P01270	PTH.5954.62.3
11	13984236	14289430	ENSG00000262655	Q9HCB6	SPON1	Spondin-1	SPON1	Spondin-1	Q9HCB6	SPON1.4297.62.3
11	14515329	14665181	ENSG00000129084	P25786	PSMA1	Proteasome subunit alpha type-1	PSMA1	PSA1	P25786	PSMA1.3859.50.2
11	14515329	14665181	ENSG00000129084	P25786	PSMA1	Proteasome subunit alpha type-1	PSMA1	PSA1	P25786	PSMA1.7880.9.3
11	14988214	14993900	ENSG00000110680	P01258	CALCA	Procalcitonin	CALCA	Procalcitonin	P01258	CALCA.10494.48.3
11	14988217	14993851	ENSG00000262933	P01258	CALCA	Procalcitonin	CALCA	Procalcitonin	P01258	CALCA.10494.48.3
11	16799842	17035990	ENSG00000166689	Q6IQ23	PLEKHA7	Pleckstrin homology domain-containing family A member 7	PLEKHA7	PKHA7	Q6IQ23	PLEKHA7.12731.12.3
11	17099277	17229530	ENSG00000011405	O00443	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A	P3C2A	O00443	PIK3C2A.14028.22.3
11	17373273	17398888	ENSG00000188211	Q68D85	NCR3LG1	Natural cytotoxicity triggering receptor 3 ligand 1	NCR3LG1	NR3L1	Q68D85	NCR3LG1.7854.38.3
11	18287721	18291524	ENSG00000173432	P0DJI8	SAA1	Serum amyloid A-1 protein	SAA1	SAA	P0DJI8	SAA1.4336.2.1
11	18433854	18473605	ENSG00000166796	P07864	LDHC	L-lactate dehydrogenase C chain	LDHC	LDHC	P07864	LDHC.9828.86.3
11	18489883	18548779	ENSG00000074319	Q99816	TSG101	Tumor susceptibility gene 101 protein	TSG101	TS101	Q99816	TSG101.13044.5.3
11	19203578	19232120	ENSG00000129170	P50461	CSRP3	Cysteine and glycine-rich protein 3	CSRP3	CSRP3	P50461	CSRP3.9171.11.3
11	20385231	20405329	ENSG00000109854	Q9BUP3	HTATIP2	Oxidoreductase HTATIP2	HTATIP2	HTAI2	Q9BUP3	HTATIP2.10630.5.3
11	20385231	20405329	ENSG00000109854	Q9BUP3	HTATIP2	Oxidoreductase HTATIP2	HTATIP2	HTAI2	Q9BUP3	HTATIP2.7753.21.3
11	20409076	20530840	ENSG00000185238	O60678	PRMT3	Protein arginine N-methyltransferase 3	PRMT3	ANM3	O60678	PRMT3.12696.166.3
11	20691117	21597227	ENSG00000165973	Q92832	NELL1	Protein kinase C-binding protein NELL1	NELL1	NELL1	Q92832	NELL1.6544.33.3
11	27676440	27743605	ENSG00000176697	P23560	BDNF	Brain-derived neurotrophic factor	BDNF	BDNF	P23560	BDNF.2421.7.3
11	30252563	30256808	ENSG00000131808	P01225	CGA FSHB	Follicle stimulating hormone	FSHB	FSH	P01215,P01225	CGA.FSHB.3032.11.2
11	32851489	32879669	ENSG00000135378	Q9BZD6	PRRG4	Transmembrane gamma-carboxyglutamic acid protein 4	PRRG4	TMG4	Q9BZD6	PRRG4.9579.59.3
11	33278218	33378569	ENSG00000110422	Q9H422	HIPK3	Homeodomain-interacting protein kinase 3	HIPK3	HIPK3	Q9H422	HIPK3.3443.61.2
11	33719807	33757991	ENSG00000085063	P13987	CD59	CD59 glycoprotein	CD59	CD59	P13987	CD59.11514.196.3
11	33762485	33796089	ENSG00000110429	Q9UK99	FBXO3	F-box only protein 3	FBXO3	FBX3	Q9UK99	FBXO3.14628.72.3
11	34460472	34493609	ENSG00000121691	P04040	CAT	Catalase	CAT	Catalase	P04040	CAT.3488.64.2
11	34500340	34535352	ENSG00000135374	Q9UKW6	ELF5	ETS-related transcription factor Elf-5	ELF5	ELF5	Q9UKW6	ELF5.13457.33.3
11	34642640	34682604	ENSG00000135373	Q9NZC4	EHF	ETS homologous factor	EHF	EHF	Q9NZC4	EHF.13387.55.3
11	35160417	35253949	ENSG00000026508	P16070	CD44	CD44 antigen	CD44	CD44	P16070	CD44.9283.8.3
11	35639735	35642419	ENSG00000179431	Q86VR8	FJX1	Four-jointed box protein 1	FJX1	FJX1	Q86VR8	FJX1.7921.65.3
11	40135753	41481323	ENSG00000148948	Q9HCJ2	LRRC4C	Leucine-rich repeat-containing protein 4C	LRRC4C	NGL1	Q9HCJ2	LRRC4C.9369.174.3
11	43380482	43516483	ENSG00000052841	Q96AE7	TTC17	Tetratricopeptide repeat protein 17	TTC17	TTC17	Q96AE7	TTC17.8800.14.3
11	43380482	43516483	ENSG00000052841	Q96AE7	TTC17	Tetratricopeptide repeat protein 17	TTC17	TTC17	Q96AE7	TTC17.9550.153.3
11	44907454	44972840	ENSG00000175274	O14683	TP53I11	Tumor protein p53-inducible protein 11	TP53I11	P5I11	O14683	TP53I11.13022.20.3
11	45670427	45687172	ENSG00000175264	O43916	CHST1	Carbohydrate sulfotransferase 1	CHST1	CHST1	O43916	CHST1.7803.4.3
11	46299212	46342972	ENSG00000157613	Q96BA8	CREB3L1	Cyclic AMP-responsive element-binding protein 3-like protein 1	CREB3L1	CR3L1	Q96BA8	CREB3L1.11198.37.3
11	46402306	46405375	ENSG00000110492	P21741	MDK	Midkine	MDK	Midkine	P21741	MDK.2911.27.2
11	46698630	46722165	ENSG00000175220	Q07960	ARHGAP1	Rho GTPase-activating protein 1	ARHGAP1	RHG01	Q07960	ARHGAP1.11955.1.3
11	46740730	46761056	ENSG00000180210	P00734	F2	Prothrombin	F2	Prothrombin	P00734	F2.5316.54.3
11	47185848	47198676	ENSG00000149182	Q8N6H7	ARFGAP2	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	ARFG2	Q8N6H7	ARFGAP2.11664.32.3
11	47260853	47270457	ENSG00000134575	P11117	ACP2	Lysosomal acid phosphatase	ACP2	Lysosomal acid phosphatase	P11117	ACP2.9237.54.3
11	48002113	48189670	ENSG00000149177	Q12913	PTPRJ	Receptor-type tyrosine-protein phosphatase eta	PTPRJ	PTPRJ	Q12913	PTPRJ.8250.2.3
11	49168187	49230222	ENSG00000086205	Q04609	FOLH1	Glutamate carboxypeptidase 2	FOLH1	PSMA	Q04609	FOLH1.3218.8.2
11	49168187	49230222	ENSG00000086205	Q04609	FOLH1	Glutamate carboxypeptidase 2	FOLH1	PSMA	Q04609	FOLH1.5478.50.2
11	57093459	57103351	ENSG00000149136	Q08945	SSRP1	FACT complex subunit SSRP1	SSRP1	SSRP1	Q08945	SSRP1.5032.64.1
11	57144242	57148623	ENSG00000156575	Q9Y2Y8	PRG3	Proteoglycan 3	PRG3	PRG3	Q9Y2Y8	PRG3.9015.1.3
11	57364860	57382326	ENSG00000149131	P05155	SERPING1	Plasma protease C1 inhibitor	SERPING1	C1-Esterase Inhibitor	P05155	SERPING1.4479.14.2
11	58346584	58388515	ENSG00000186660	Q96JP5	ZFP91	E3 ubiquitin-protein ligase ZFP91	ZFP91	ZFP91	Q96JP5	ZFP91.13651.54.3
11	58390146	58393198	ENSG00000242689	P26441	CNTF	Ciliary neurotrophic factor	CNTF	CNTF	P26441	CNTF.3489.9.2
11	59620273	59634048	ENSG00000134827	P20061	TCN1	Transcobalamin-1	TCN1	Holo-TC I	P20061	TCN1.11232.46.3
11	60691935	60704631	ENSG00000006118	Q24JP5	TMEM132A	Transmembrane protein 132A	TMEM132A	T132A	Q24JP5	TMEM132A.7871.16.3
11	60869867	60895324	ENSG00000110448	P06127	CD5	T-cell surface glycoprotein CD5	CD5	CD5	P06127	CD5.14065.11.3
11	61197514	61215001	ENSG00000167985	Q9NX18	SDHAF2	Succinate dehydrogenase assembly factor 2, mitochondrial	SDHAF2	SDHF2	Q9NX18	SDHAF2.6420.4.3
11	61282785	61348620	ENSG00000011347	O43581	SYT7	Synaptotagmin-7	SYT7	SYT7	O43581	SYT7.7121.2.3
11	61520114	61555990	ENSG00000124920	Q9Y2G1	MYRF	Myelin regulatory factor	MYRF	MRF	Q9Y2G1	MYRF.8843.34.3
11	61560109	61564716	ENSG00000168496	P39748	FEN1	Flap endonuclease 1	FEN1	FLAP endonuclease-1	P39748	FEN1.12577.100.3
11	61727190	61735132	ENSG00000167996	P02794	FTH1 FTL	Ferritin	FTH1	Ferritin	P02792,P02794	FTH1.FTL.3031.66.1
11	61727190	61735132	ENSG00000167996	P02794	FTH1 FTL	Ferritin	FTH1	Ferritin	P02792,P02794	FTH1.FTL.5934.1.3
11	61976140	61981408	ENSG00000124939	O75556	SCGB2A1	Mammaglobin-B	SCGB2A1	Mammaglobin 2	O75556	SCGB2A1.5001.6.2
11	62009682	62012280	ENSG00000124935	O95969	SCGB1D2	Secretoglobin family 1D member 2	SCGB1D2	SG1D2	O95969	SCGB1D2.6508.68.3
11	62382768	62389647	ENSG00000149541	O94766	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	B3GAT3	B3GA3	O94766	B3GAT3.6897.38.3
11	62437745	62441159	ENSG00000204922	Q6UW78	UQCC3	Ubiquinol-cytochrome-c reductase complex assembly factor 3	C11orf83	CK083	Q6UW78	UQCC3.8228.10.3
11	62559595	62573774	ENSG00000162231	Q9UBU9	NXF1	Nuclear RNA export factor 1	NXF1	NXF1	Q9UBU9	NXF1.12453.161.3
11	63304281	63313934	ENSG00000133321	Q9UL19	RARRES3	Retinoic acid receptor responder protein 3	RARRES3	TIG3	Q9UL19	RARRES3.10961.15.3
11	63320242	63330855	ENSG00000133328	Q9NWW9	HRASLS2	HRAS-like suppressor 2	HRASLS2	HRSL2	Q9NWW9	HRASLS2.7822.11.3
11	63340667	63384355	ENSG00000176485	P53816	PLA2G16	HRAS-like suppressor 3	PLA2G16	HRSL3	P53816	PLA2G16.7865.126.3
11	63742079	63744015	ENSG00000176340	P10176	COX8A	Cytochrome c oxidase subunit 8A, mitochondrial	COX8A	COX8A	P10176	COX8A.10497.242.3
11	63766030	63933578	ENSG00000133315	Q9BQ69	MACROD1	O-acetyl-ADP-ribose deacetylase MACROD1	MACROD1	MACD1	Q9BQ69	MACROD1.13653.335.3
11	63870660	63886645	ENSG00000126500	Q9NZU1	FLRT1	Leucine-rich repeat transmembrane protein FLRT1	FLRT1	FLRT1	Q9NZU1	FLRT1.13739.3.3
11	63870660	63886645	ENSG00000126500	Q9NZU1	FLRT1	Leucine-rich repeat transmembrane protein FLRT1	FLRT1	FLRT1	Q9NZU1	FLRT1.4547.59.2
11	63952744	63972015	ENSG00000168439	P31948	STIP1	Stress-induced-phosphoprotein 1	STIP1	Stress-induced-phosphoprotein 1	P31948	STIP1.5489.18.3
11	63997750	64001758	ENSG00000110011	Q9NNZ3	DNAJC4	DnaJ homolog subfamily C member 4	DNAJC4	DNJC4	Q9NNZ3	DNAJC4.8016.19.3
11	64008475	64011604	ENSG00000173486	P26885	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	FKBP2	FKBP2	P26885	FKBP2.9339.204.3
11	64037302	64052176	ENSG00000002330	Q92934	BAD	Bcl2-associated agonist of cell death	BAD	BAD	Q92934	BAD.5870.23.2
11	64373646	64490660	ENSG00000110076	P58401	NRXN2	Neurexin-2-beta	NRXN2	NRX2B	P58401	NRXN2.8876.51.3
11	64532078	64546258	ENSG00000168066	Q15637	SF1	Splicing factor 1	SF1	SF01	Q15637	SF1.12777.11.3
11	64701943	64703360	ENSG00000149735	Q96T91	GPHA2	Glycoprotein hormone alpha-2	GPHA2	GPHA2	Q96T91	GPHA2.6395.58.3
11	65590493	65629497	ENSG00000172757	P23528	CFL1	Cofilin-1	CFL1	Cofilin-1	P23528	CFL1.4203.50.2
11	65684279	65686588	ENSG00000175573	Q9H3H3	C11orf68	UPF0696 protein C11orf68	C11orf68	CK068	Q9H3H3	C11orf68.8307.47.3
11	65764016	65769647	ENSG00000175376	Q8N9N8	EIF1AD	Probable RNA-binding protein EIF1AD	EIF1AD	EIF1A	Q8N9N8	EIF1AD.13545.97.3
11	65779312	65780976	ENSG00000175315	Q15828	CST6	Cystatin-M	CST6	Cystatin M	Q15828	CST6.14711.27.3
11	65779312	65780976	ENSG00000175315	Q15828	CST6	Cystatin-M	CST6	Cystatin M	Q15828	CST6.3303.23.2
11	66112843	66115163	ENSG00000174684	O43505	B3GNT1	Beta-1,4-glucuronyltransferase 1	B3GNT1	B3GN1	O43505	B3GNT1.8259.25.3
11	66330934	66336312	ENSG00000174080	Q9UBX1	CTSF	Cathepsin F	CTSF	CATF	Q9UBX1	CTSF.8393.121.3
