Sequence ID	Full Name	Target Name	UniProt ID	Entrez Gene Name
16758-96	Hepatoma-derived growth factor	HDGF	P51858	HDGF
16760-2	Interleukin-26	IL-26	Q9NPH9	IL26
16763-11	Leukocyte cell-derived chemotaxin-2	LECT2	O14960	LECT2
16765-52	Platelet basic protein	PBP	P02775	PPBP
16768-3	Junction plakoglobin	PLAK	P14923	JUP
16769-20	Ras-related C3 botulinum toxin substrate 3	RAC3	P60763	RAC3
16770-3	Lithostathine-1-beta	REG1B	P48304	REG1B
16773-29	Signal peptide, CUB and EGF-like domain-containing protein 3	SCUB3	Q8IX30	SCUBE3
16780-6	Internal Use Only: Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	HSPA1A
16781-2	Cytosolic endo-beta-N-acetylglucosaminidase	ENASE	Q8NFI3	ENGASE
16785-45	Defensin-5	HD-5	Q01523	DEFA5
16792-4	Sialic acid-binding Ig-like lectin 5	Siglec-5	O15389	SIGLEC5
16802-31	OCIA domain-containing protein 1	OCAD1	Q9NX40	OCIAD1
16803-4	Calretinin	CALB2	P22676	CALB2
16805-5	cGMP-specific 3',5'-cyclic phosphodiesterase	PDE5A	O76074	PDE5A
16807-35	Troponin T, fast skeletal muscle	TNNT3	P45378	TNNT3
16809-1	Nucleoside diphosphate kinase, mitochondrial	NDKM	O00746	NME4
16810-3	Rab GDP dissociation inhibitor alpha	RhoGDI	P31150	GDI1
16814-13	Four and a half LIM domains protein 1	SLIM 1	Q13642	FHL1
16818-200	CUB domain-containing protein 1	CDCP1	Q9H5V8	CDCP1
16823-75	Apolipoprotein L3	APOL3	O95236	APOL3
16825-20	Ataxin-3	ATX3	P54252	ATXN3
16828-8	Collagen alpha-1(VI) chain	Collagen a1(VI)	P12109	COL6A1
16831-7	Docking protein 1	DOK1	Q99704	DOK1
16836-1	Complement factor H-related protein 3	FHR3	Q02985	CFHR3
16837-20	CASP8 and FADD-like apoptosis regulator	FLIP	O15519	CFLAR
16845-15	Myelin protein zero-like protein 1	MPZL1	O95297	MPZL1
16847-39	Ras-related protein Rab-3B	RAB3B	P20337	RAB3B
16850-5	Regulator of G-protein signaling 5	RGS5	O15539	RGS5
16851-50	Protein SCO2 homolog, mitochondrial	SCO2	O43819	SCO2
16852-10	Na(+)/H(+) exchange regulatory cofactor NHE-RF3	NHRF3	Q5T2W1	PDZK1
16853-5	Nicotinamide riboside kinase 1	NRK1	Q9NWW6	NMRK1
16854-17	U6 snRNA-associated Sm-like protein LSm4	LSM4	Q9Y4Z0	LSM4
16856-79	Microtubule-associated protein RP/EB family member 2	MARE2	Q15555	MAPRE2
16857-2	Ras-related protein Rab-2A	RAB2A	P61019	RAB2A
16858-384	Reticulocalbin-3	RCN3	Q96D15	RCN3
16859-100	Endophilin-B1	SHLB1	Q9Y371	SH3GLB1
16863-47	N-acylneuraminate-9-phosphatase	NANP	Q8TBE9	NANP
16865-62	TATA-binding protein-associated factor 2N	RBP56	Q92804	TAF15
16867-76	Cyclin-dependent kinase 16	PCTK1	Q00536	CDK16
16872-248	Maleylacetoacetate isomerase	MAAI	O43708	GSTZ1
16875-13	Protein mago nashi homolog 2	MGN2	Q96A72	MAGOHB
16877-19	Methionine-R-sulfoxide reductase B2, mitochondrial	MSRB2	Q9Y3D2	MSRB2
16882-27	14 kDa phosphohistidine phosphatase	PHP14	Q9NRX4	PHPT1
16883-57	Ras-related protein Rab-4A	RAB4A	P20338	RAB4A
16885-49	Microtubule-associated protein RP/EB family member 3	MARE3	Q9UPY8	MAPRE3
16887-29	Peptidyl-tRNA hydrolase 2, mitochondrial	PTH2	Q9Y3E5	PTRH2
16890-37	ADAMTS-like protein 1	ATL1	Q8N6G6	ADAMTSL1
16892-23	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	ENPP2	Q13822	ENPP2
16899-59	Oxysterol-binding protein-related protein 9	OSBL9	Q96SU4	OSBPL9
16900-29	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	MDGA1	Q8NFP4	MDGA1
16902-17	Lysosome-associated membrane glycoprotein 1	LAMP1	P11279	LAMP1
16907-3	Cell adhesion molecule 2	Nectin-like protein 3	Q8N3J6	CADM2
16908-5	Oligodendrocyte-myelin glycoprotein	OMGP	P23515	OMG
16913-8	Ribonuclease T2	RNT2	O00584	RNASET2
16914-104	Monocyte differentiation antigen CD14, soluble	sCD14	P08571	CD14
16915-153	Semaphorin-4A	SEM4A	Q9H3S1	SEMA4A
16916-19	SLIT and NTRK-like protein 6	SLIK6	Q9H5Y7	SLITRK6
16918-198	Toll-like receptor 3	TLR3	O15455	TLR3
16919-1	Acyl-CoA-binding protein	ACBP	P07108	DBI
16922-53	Plexin-B3	PLXB3	Q9ULL4	PLXNB3
16923-20	Profilin-2	Profilin II	P35080	PFN2
16926-44	Alkaline phosphatase, tissue-nonspecific isozyme	Alkaline phosphatase, liver	P05186	ALPL
16927-9	Coagulation factor XIII	Coagulation factor XIII	P05160 | P00488	F13B | F13A1
16932-5	Estrogen sulfotransferase	SULT 1E	P49888	SULT1E1
17137-160	Hemoglobin subunit beta	Beta-globin	P68871	HBB
17138-8	Glutathione S-transferase A1	GST A1-1	P08263	GSTA1
17140-57	Platelet-derived growth factor D	PDGFD	Q9GZP0	PDGFD
17145-1	Protein S100-A8/A9 heterodimer	S100A8/S100A9	P06702 | P05109	S100A9 | S100A8
17148-7	Flavin reductase (NADPH)	BLVRB	P30043	BLVRB
17150-8	10 kDa heat shock protein, mitochondrial	HSP 10	P61604	HSPE1
17151-84	Interferon regulatory factor 3	IRF-3	Q14653	IRF3
17152-10	Killer cell immunoglobulin-like receptor 2DS4	KI2S4	P43632	KIR2DS4
17153-46	Killer cell immunoglobulin-like receptor 2DL3	KI2L3	P43628	KIR2DL3
17154-2	Prostaglandin E synthase 3	TEBP	Q15185	PTGES3
17155-1	Vacuolar protein sorting-associated protein 28 homolog	VPS28 protein homolog	Q9UK41	VPS28
17156-72	Serine/threonine-protein kinase DCLK1	DCAK1	O15075	DCLK1
17158-17	Ubiquitin-conjugating enzyme E2 G1	UB2G1	P62253	UBE2G1
17161-1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	OST48	P39656	DDOST
17163-117	Annexin A3	Annexin III	P12429	ANXA3
17163-34	Annexin A3	Annexin III	P12429	ANXA3
17164-15	Annexin A4	annexin IV	P09525	ANXA4
17165-1	Beta-thromboglobulin	BTG	P02775	PPBP
17166-4	Fibroblast growth factor 8 isoform F	FGF-8F	P55075	FGF8
17170-15	Calcitonin gene-related peptide 2	CALCB	P10092	CALCB
17172-19	Statherin	STAT	P02808	STATH
17175-5	Dual specificity mitogen-activated protein kinase kinase 6	MP2K6	P52564	MAP2K6
17176-13	PC4 and SFRS1-interacting protein	PSIP1	O75475	PSIP1
17195-43	BAG family molecular chaperone regulator 1	BAG-1	Q99933	BAG1
17196-5	ATP-dependent Clp protease proteolytic subunit, mitochondrial	ClpP endopeptidase	Q16740	CLPP
17199-43	Hypoxia-inducible factor 1-alpha inhibitor	HIF1N	Q9NWT6	HIF1AN
17200-50	Killer cell immunoglobulin-like receptor 2DL1	KI2L1	P43626	KIR2DL1
17202-37	Programmed cell death protein 4	PDCD4	Q53EL6	PDCD4
17204-17	Phenylethanolamine N-methyltransferase	PNMT	P11086	PNMT
17205-21	Ras-related protein Rab-5A	RAB5A	P20339	RAB5A
17209-27	Sulfotransferase family cytosolic 2B member 1	ST2B1	O00204	SULT2B1
17210-2	T-cell leukemia/lymphoma protein 1A	TCL1A	P56279	TCL1A
17224-12	Mimecan	MIME	P20774	OGN
17231-1	Plastin-2	L-plastin	P13796	LCP1
17319-1	Selenoprotein H	SELH	Q8IZQ5	SELENOH
17320-19	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ADPPT	Q9NRN7	AASDHPPT
17325-10	Guanylate kinase	KGUA	Q16774	GUK1
17326-44	Dual specificity protein phosphatase 23	DUS23	Q9BVJ7	DUSP23
17327-3	Protein canopy homolog 3	CNPY3	Q9BT09	CNPY3
17329-2	3-hydroxybutyrate dehydrogenase type 2	BDH2	Q9BUT1	BDH2
17331-138	Kremen protein 1	KREM1	Q96MU8	KREMEN1
17332-3	Poly(ADP-ribose) glycohydrolase ARH3	ARHL2	Q9NX46	ADPRS
17333-20	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	P11310	ACADM
17335-18	Vesicle-associated membrane protein 2	VAMP2	P63027	VAMP2
17336-54	Cyclic AMP-responsive element-binding protein 3-like protein 2	CR3L2	Q70SY1	CREB3L2
17337-1	Transcriptional repressor protein YY1	TYY1	P25490	YY1
17341-89	Acetyl-CoA acetyltransferase, cytosolic	THIC	Q9BWD1	ACAT2
17342-13	Anterior gradient protein 3	AGR3	Q8TD06	AGR3
17343-6	Syntaphilin	SNPH	O15079	SNPH
17344-23	Stomatin-like protein 1	STML1	Q9UBI4	STOML1
17345-12	Prostaglandin reductase 3	ZADH2	Q8N4Q0	PTGR3
17346-61	Follicular dendritic cell secreted peptide	FDSCP	Q8NFU4	FDCSP
17347-80	Axin interactor, dorsalization-associated protein	CA080	Q96BJ3	AIDA
17348-5	Synaptojanin-2-binding protein	SYJ2B	P57105	SYNJ2BP
17350-13	Charged multivesicular body protein 2b	CHM2B	Q9UQN3	CHMP2B
17355-56	Synaptotagmin-4	SYT4	Q9H2B2	SYT4
17356-34	Interleukin-1 family member 10	IL1FA	Q8WWZ1	IL1F10
17357-33	O-phosphoseryl-tRNA(Sec) selenium transferase	SPCS	Q9HD40	SEPSECS
17362-5	Von Hippel-Lindau disease tumor suppressor	VHL	P40337	VHL
17364-8	U2 small nuclear ribonucleoprotein B''	RU2B	P08579	SNRPB2
17365-7	Kynurenine--oxoglutarate transaminase 1	KAT1	Q16773	KYAT1
17366-6	DCN1-like protein 1	DCNL1	Q96GG9	DCUN1D1
17367-5	Stathmin	Stathmin	P16949	STMN1
17370-186	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHDA	Q9NUJ1	ABHD10
17372-5	Eukaryotic translation initiation factor 4E-binding protein 1	4EBP1	Q13541	EIF4EBP1
17377-1	Aldo-keto reductase family 1 member C3	Aldose reductase-like C3	P42330	AKR1C3
17380-2	Ubiquitin-conjugating enzyme E2 K	UBE2K	P61086	UBE2K
17383-4	StAR-related lipid transfer protein 5	STAR5	Q9NSY2	STARD5
17384-110	ATP-dependent 6-phosphofructokinase, muscle type	K6PF	P08237	PFKM
17387-27	NF-kappa-B inhibitor beta	IKB-beta	Q15653	NFKBIB
17391-10	Splicing factor 45	SPF45	Q96I25	RBM17
17393-13	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	SCAD	P16219	ACADS
17396-23	Alcohol dehydrogenase 1A	ADH1A	P07327	ADH1A
17397-8	Estradiol 17-beta-dehydrogenase 11	DHB11	Q8NBQ5	HSD17B11
17398-55	Heme oxygenase 1	HO-1	P09601	HMOX1
17400-71	Acyl-coenzyme A thioesterase 8	ACOT8	O14734	ACOT8
17403-14	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	acyl-Coenzyme A dehydrogenase	P45954	ACADSB
17404-5	ADP-ribosylation factor-like protein 5B	ARL5B	Q96KC2	ARL5B
17405-2	Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCHL5	Q9Y5K5	UCHL5
17408-2	Phosphomannomutase 1	PMM1	Q92871	PMM1
17410-5	Centrin-3	CETN3	O15182	CETN3
17411-55	Ubiquitin recognition factor in ER-associated degradation protein 1	UFD1	Q92890	UFD1
17419-17	Testin	TES	Q9UGI8	TES
17427-26	Neuroligin-3	NLGN3	Q9NZ94	NLGN3
17432-25	Adenylate kinase 4, mitochondrial	KAD4	P27144	AK4
17435-43	Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA	P13804	ETFA
17436-193	Casein kinase I isoform gamma-2	CSNK1G2	P78368	CSNK1G2
17441-4	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	P09923	ALPI
17447-52	Secreted frizzled-related protein 4	SFRP4	Q6FHJ7	SFRP4
17449-23	CD9 antigen	CD9	P21926	CD9
17450-51	Histidine--tRNA ligase, cytoplasmic	Histidyl-tRNA synthetase	P12081	HARS1
17451-13	Bcl-2-like protein 11	BIM	O43521	BCL2L11
17453-34	Ceruloplasmin	Ceruloplasmin	P00450	CP
17454-15	Epidermal growth factor-like protein 6	EGFL6	Q8IUX8	EGFL6
17455-42	Folate receptor alpha	FOLR1	P15328	FOLR1
17456-53	Golgi membrane protein 1	GOLM1	Q8NBJ4	GOLM1
17460-51	Interferon-induced GTP-binding protein Mx1	Mx1	P20591	MX1
17462-19	Interferon regulatory factor 1	IRF1	P10914	IRF1
17466-72	Acyl-CoA synthetase family member 2, mitochondrial	ACSF2	Q96CM8	ACSF2
17467-1	Dehydrogenase/reductase SDR family member 9	DHRS9	Q9BPW9	DHRS9
17468-1	Suppressor of fused homolog	SUFU	Q9UMX1	SUFU
17474-106	YEATS domain-containing protein 4	YETS4	O95619	YEATS4
17475-18	Lymphokine-activated killer T-cell-originated protein kinase	TOPK	Q96KB5	PBK
17490-4	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3-like protein	Q9H299	SH3BGRL3
17495-141	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIR3	Q9NTG7	SIRT3
17505-125	N-acetylated-alpha-linked acidic dipeptidase-like protein	NALDL	Q9UQQ1	NAALADL1
17509-6	4-hydroxyphenylpyruvate dioxygenase	HPPD	P32754	HPD
17510-22	Signal recognition particle 14 kDa protein	SRP14	P37108	SRP14
17510-7	Signal recognition particle 14 kDa protein	SRP14	P37108	SRP14
17511-10	Ribonuclease P protein subunit p30	RPP30	P78346	RPP30
17512-2	N-myc-interactor	NMI	Q13287	NMI
17513-11	Annexin A11	ANX11	P50995	ANXA11
17514-48	Ras-related protein Rab-21	RAB21	Q9UL25	RAB21
17515-6	Heat shock 70 kDa protein 13	STCH	P48723	HSPA13
17516-7	Ras-related protein Rab-3A	Rab3A	P20336	RAB3A
17671-58	Inhibitor of growth protein 4	ING4	Q9UNL4	ING4
17672-184	Gastric intrinsic factor	Gastric intrinsic factor	P27352	CBLIF
17673-34	Carbonic anhydrase 5B, mitochondrial	Carbonic Anhydrase VB	Q9Y2D0	CA5B
17675-17	Acyl-coenzyme A thioesterase 13	ACO13	Q9NPJ3	ACOT13
17676-13	Cdc42-interacting protein 4	CIP4	Q15642	TRIP10
17677-47	CD160 antigen	BY55	O95971	CD160
17678-28	V-set and immunoglobulin domain-containing protein 4	VSIG4	Q9Y279	VSIG4
17680-12	Ephrin type-B receptor 1	EPHB1	P54762	EPHB1
17682-1	Membrane cofactor protein	CD46	P15529	CD46
17683-2	COMM domain-containing protein 9	COMD9	Q9P000	COMMD9
17685-9	Apolipoprotein A-IV	Apo A-IV	P06727	APOA4
17686-27	Tubulin-folding cofactor B	TBCB	Q99426	TBCB
17691-1	Tripeptidyl-peptidase 1	TPP1	O14773	TPP1
17692-2	Butyrophilin subfamily 3 member A3	BT3A3	O00478	BTN3A3
17693-2	Septin-6	Septin-6	Q14141	SEPTIN6
17694-32	Proteasome activator complex subunit 2	PSME2	Q9UL46	PSME2
17696-1	TIR domain-containing adapter molecule 2	TIRP	Q86XR7	TICAM2
17697-2	Esterase OVCA2	OVCA2	Q8WZ82	OVCA2
17698-15	WW domain-binding protein 2	WBP2	Q969T9	WBP2
17699-43	Protein timeless homolog	TIMELESS	Q9UNS1	TIMELESS
17702-53	UDP-glucuronosyltransferase 1-1	UGT 1A1	P22309	UGT1A1
17703-40	Geminin	GEMI	O75496	GMNN
17704-74	Heat shock protein 105 kDa	HS105	Q92598	HSPH1
17706-4	Protein phosphatase 1 regulatory subunit 1A	PPR1A	Q13522	PPP1R1A
17710-40	Tumor protein D53	TPD53	Q16890	TPD52L1
17711-13	Vesicle-associated membrane protein 1	VAMP1	P23763	VAMP1
17712-7	Isopentenyl-diphosphate Delta-isomerase 1	IDI1	Q13907	IDI1
17721-82	Growth arrest-specific protein 7	GAS7	O60861	GAS7
17722-5	Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP52 protein	Q02790	FKBP4
17724-3	WW domain-containing oxidoreductase	WWOX	Q9NZC7	WWOX
17725-37	Harmonin	USH1C	Q9Y6N9	USH1C
17726-3	GTP-binding protein SAR1a	SAR1A	Q9NR31	SAR1A
17727-1	Securin	Securin	O95997	PTTG1
17728-61	Charged multivesicular body protein 2a	CHM2A	O43633	CHMP2A
17729-20	Ubiquitin-conjugating enzyme E2 S	UBE2S	Q16763	UBE2S
17734-13	Alpha-endosulfine	a-endosulfine	O43768	ENSA
17735-130	Gamma-aminobutyric acid receptor-associated protein	GBRAP	O95166	GABARAP
17736-105	Aprataxin	APTX	Q7Z2E3	APTX
17737-7	Isovaleryl-CoA dehydrogenase, mitochondrial	IVD	P26440	IVD
17738-7	Cornulin	CRNN	Q9UBG3	CRNN
17739-1	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	HCDH	Q16836	HADH
17742-2	Ras-related protein R-Ras	RRAS	P10301	RRAS
17743-14	Ubiquitin-conjugating enzyme E2 A	UBE2A	P49459	UBE2A
17744-31	Ras-related protein Rab-11A	RB11A	P62491	RAB11A
17746-77	Mitochondrial fission 1 protein	FIS1	Q9Y3D6	FIS1
17747-45	TNF receptor-associated factor 1	TRAF1	Q13077	TRAF1
17748-21	Quinone oxidoreductase PIG3	QORX	Q53FA7	TP53I3
17750-12	Ribonucleoside-diphosphate reductase subunit M2	RIR2	P31350	RRM2
17750-8	Ribonucleoside-diphosphate reductase subunit M2	RIR2	P31350	RRM2
17751-68	Beta-crystallin B1	CRBB1	P53674	CRYBB1
17752-24	Arginase-2, mitochondrial	Arginase	P78540	ARG2
17755-5	UDP-glucose 6-dehydrogenase	UGDH	O60701	UGDH
17756-69	Deoxycytidylate deaminase	DCTD	P32321	DCTD
17757-86	Calcium-binding protein 39	CAB39	Q9Y376	CAB39
17758-79	L-xylulose reductase	DCXR	Q7Z4W1	DCXR
17760-128	WD repeat-containing protein 5	WDR5	P61964	WDR5
17761-2	ADP-sugar pyrophosphatase	NUDT5	Q9UKK9	NUDT5
17764-108	Rho-related GTP-binding protein RhoC	RHOC	P08134	RHOC
17765-3	Snurportin-1	SPN1	O95149	SNUPN
17766-5	Neutrophil cytosol factor 1	NCF-1	P14598	NCF1
17768-50	Hydroxyacid oxidase 1	HAOX1	Q9UJM8	HAO1
17769-28	PEST proteolytic signal-containing nuclear protein	PCNP	Q8WW12	PCNP
17770-42	ER membrane protein complex subunit 8	EMC8	O43402	EMC8
17771-35	DNA-directed RNA polymerase III subunit RPC9	RPC9	O75575	CRCP
17772-7	Ubiquitin D	UBD	O15205	UBD
17773-26	Gamma-soluble NSF attachment protein	SNAG	Q99747	NAPG
17774-38	Small nuclear ribonucleoprotein Sm D3	SMD3	P62318	SNRPD3
17775-8	Transgelin-3	TAGL3	Q9UI15	TAGLN3
17776-15	Peroxisomal trans-2-enoyl-CoA reductase	PECR	Q9BY49	PECR
17777-31	Serine dehydratase-like	SDSL	Q96GA7	SDSL
17778-19	Ras-related protein Rab-32	RAB32	Q13637	RAB32
17781-191	Microtubule-associated proteins 1A/1B light chain 3A	MLP3A	Q9H492	MAP1LC3A
17782-23	3-ketoacyl-CoA thiolase, peroxisomal	THIK	P09110	ACAA1
17783-9	Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial	MMAB	Q96EY8	MMAB
17784-23	Glia maturation factor beta	GMFB	P60983	GMFB
17785-11	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	RCL	O43598	DNPH1
17786-5	Geranylgeranyl pyrophosphate synthase	GGPPS	O95749	GGPS1
17787-1	Enoyl-CoA hydratase, mitochondrial	Enoyl-CoA hydratase	P30084	ECHS1
17789-1	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	NADC	Q15274	QPRT
17791-25	Hippocalcin-like protein 1	HPCL1	P37235	HPCAL1
17792-158	Succinate-semialdehyde dehydrogenase, mitochondrial	SSDH	P51649	ALDH5A1
17793-4	GTP-binding protein Di-Ras1	DIRA1	O95057	DIRAS1
17794-6	Phosphomannomutase 2	Phosphomannomutase 2	O15305	PMM2
17795-176	U6 snRNA-associated Sm-like protein LSm1	LSM1	O15116	LSM1
17796-15	Inositol monophosphatase 1	IMPA1	P29218	IMPA1
17797-1	Cullin-1	CUL1	Q13616	CUL1
17799-9	6-phosphogluconolactonase	6PGL	O95336	PGLS
17800-33	SCAN domain-containing protein 1	SCAND1	P57086	SCAND1
17802-4	Sialic acid synthase	SIAS	Q9NR45	NANS
17804-102	Pyridoxine-5'-phosphate oxidase	PNPO	Q9NVS9	PNPO
17805-35	Survival of motor neuron-related-splicing factor 30	SPF30	O75940	SMNDC1
17806-6	Syntenin-1	Syntenin 1	O00560	SDCBP
17808-37	Omega-amidase NIT2	NIT2	Q9NQR4	NIT2
17811-78	Sulfotransferase 1C2	ST1C2	O00338	SULT1C2
17812-2	Protein tyrosine phosphatase type IVA 1	TP4A1	Q93096	PTP4A1
17813-21	Valacyclovir hydrolase	BPHL	Q86WA6	BPHL
17814-8	3'(2'),5'-bisphosphate nucleotidase 1	BPNT1	O95861	BPNT1
17816-58	Neurocalcin-delta	NCALD	P61601	NCALD
17817-22	DNA damage-inducible transcript 4 protein	DDIT4	Q9NX09	DDIT4
17818-22	Protein SGT1 homolog	SUGT1	Q9Y2Z0	SUGT1
17819-30	Acylpyruvase FAHD1, mitochondrial	FAHD1	Q6P587	FAHD1
17820-170	Myeloid leukemia factor 1	MLF1	P58340	MLF1
17821-20	Glycylpeptide N-tetradecanoyltransferase 2	NMT2	O60551	NMT2
17822-57	Ras-related and estrogen-regulated growth inhibitor	RERG	Q96A58	RERG
17823-40	Small nuclear ribonucleoprotein Sm D2	SMD2	P62316	SNRPD2
17826-341	Elongation factor 1-delta	EF1D	P29692	EEF1D
17827-53	Dynein light chain roadblock-type 2	DLRB2	Q8TF09	DYNLRB2
17828-3	Protein S100-A14	S100A14	Q9HCY8	S100A14
17829-2	Three prime repair exonuclease 2	TREX2	Q9BQ50	TREX2
17832-12	Isopentenyl-diphosphate delta-isomerase 2	IDI2	Q9BXS1	IDI2
17835-28	Annexin A13	ANX13	P27216	ANXA13
17836-17	Protein S100-A16	S100A16	Q96FQ6	S100A16
17837-5	Chloride intracellular channel protein 2	CLIC2	O15247	CLIC2
17843-30	Phosphopantothenate--cysteine ligase	PPCS	Q9HAB8	PPCS
17849-6	Developmentally-regulated GTP-binding protein 1	DRG1	Q9Y295	DRG1
17850-42	Krueppel-like factor 4	KLF4	O43474	KLF4
17852-5	Protein phosphatase methylesterase 1	PPME1	Q9Y570	PPME1
17854-33	N-alpha-acetyltransferase 10	NAA10	P41227	NAA10
17855-28	Regulator of G-protein signaling 4	RGS4	P49798	RGS4
17856-23	5'(3')-deoxyribonucleotidase, mitochondrial	NT5M	Q9NPB1	NT5M
17857-6	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADL	P28330	ACADL
18156-7	Ubiquitin-like-conjugating enzyme ATG3	ATG3	Q9NT62	ATG3
18158-4	Caspase-8	Caspase-8	Q14790	CASP8
18158-45	Caspase-8	Caspase-8	Q14790	CASP8
18160-2	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	PIMT	P22061	PCMT1
18162-167	Interleukin-1 receptor-associated kinase 4	IRAK4	Q9NWZ3	IRAK4
18165-181	Ubiquitin-conjugating enzyme E2 variant 2	UB2V2	Q15819	UBE2V2
18166-4	Rho-related GTP-binding protein RhoB	RHOB	P62745	RHOB
18170-46	Pyrroline-5-carboxylate reductase 1, mitochondrial	P5CR1	P32322	PYCR1
18171-25	C-X-C motif chemokine 11	I-TAC	O14625	CXCL11
18172-71	Histone chaperone ASF1A	ASF1A	Q9Y294	ASF1A
18173-11	Aflatoxin B1 aldehyde reductase member 3	ARK73	O95154	AKR7A3
18174-79	Programmed cell death 6-interacting protein	PDC6I	Q8WUM4	PDCD6IP
18175-65	Synaptic vesicle membrane protein VAT-1 homolog	VAT1	Q99536	VAT1
18177-49	NEDD8-activating enzyme E1 regulatory subunit	ULA1	Q13564	NAE1
18178-13	Serine--tRNA ligase, cytoplasmic	SYSC	P49591	SARS1
18179-56	Spermine synthase	SPSY	P52788	SMS
18180-58	Reticulon-4-interacting protein 1, mitochondrial	RT4I1	Q8WWV3	RTN4IP1
18181-2	Protein TSSC4	TSSC4	Q9Y5U2	TSSC4
18182-24	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	PCKGC	P35558	PCK1
18183-3	Low density lipoprotein receptor adapter protein 1	ARH	Q5SW96	LDLRAP1
18184-28	GMP synthase [glutamine-hydrolyzing]	GUAA	P49915	GMPS
18185-118	Fructose-bisphosphate aldolase B	ALDOB	P05062	ALDOB
18186-15	Threonine--tRNA ligase, cytoplasmic	SYTC	P26639	TARS1
18187-16	Aspartoacylase	ACY2	P45381	ASPA
18188-12	Glycine amidinotransferase, mitochondrial	GATM	P50440	GATM
18189-12	Vacuolar protein-sorting-associated protein 25	VPS25	Q9BRG1	VPS25
18190-15	Caspase recruitment domain-containing protein 18	ICBR	P57730	CARD18
18191-23	Ran-specific GTPase-activating protein	RANG	P43487	RANBP1
18192-69	Melanoma-associated antigen 5	MAGE-5	P43359	MAGEA5
18193-165	Mortality factor 4-like protein 1	MO4L1	Q9UBU8	MORF4L1
18194-18	Fatty acid-binding protein 9	FABP9	Q0Z7S8	FABP9
18195-3	Oral cancer-overexpressed protein 1	ORAV1	Q8WV07	LTO1
18196-8	Afamin	Afamin	P43652	AFM
18197-97	Creatine kinase S-type, mitochondrial	KCRS	P17540	CKMT2
18198-51	Hemoglobin subunit theta-1	HBAT	P09105	HBQ1
18202-22	Leukocyte antigen CD37	CD37	P11049	CD37
18203-9	Gamma-crystallin C	CRGC	P07315	CRYGC
18204-1	Transcription elongation factor A protein 1	TCEA1	P23193	TCEA1
18205-123	Melanoma-associated antigen 6	MAGE-6	P43360	MAGEA6
18206-18	Alcohol dehydrogenase 6	ADH6	P28332	ADH6
18207-6	Charged multivesicular body protein 1b	CHM1B	Q7LBR1	CHMP1B
18208-3	G2/mitotic-specific cyclin-B2	CCNB2	O95067	CCNB2
18210-12	Spindlin-1	SPIN1	Q9Y657	SPIN1
18212-43	Glutathione S-transferase Mu 5	GSTM5-5	P46439	GSTM5
18213-30	NEDD8-conjugating enzyme UBE2F	UBE2F	Q969M7	UBE2F
18214-2	Glutamate--cysteine ligase regulatory subunit	GSH0	P48507	GCLM
18215-5	Probable tRNA(His) guanylyltransferase	THG1	Q9NWX6	THG1L
18216-22	Interleukin-11 receptor subunit alpha	IL-11 RA	Q14626	IL11RA
18218-48	CB1 cannabinoid receptor-interacting protein 1	CB032	Q96F85	CNRIP1
18220-141	Steroid receptor RNA activator 1	SRA1	Q9HD15	SRA1
18222-34	Endophilin-B2	SHLB2	Q9NR46	SH3GLB2
18224-11	Charged multivesicular body protein 1a	CHM1A	Q9HD42	CHMP1A
18225-13	Heme-binding protein 1	HEBP1	Q9NRV9	HEBP1
18226-148	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A	P20674	COX5A
18227-3	Cyclin-dependent kinase 2-associated protein 2	CDKA2	O75956	CDK2AP2
18228-30	Nucleolar protein 16	NOP16	Q9Y3C1	NOP16
18231-147	Prion-like protein doppel	PRND	Q9UKY0	PRND
18232-42	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	PI42B	P78356	PIP4K2B
18233-10	Aspartate aminotransferase, mitochondrial	GOT2	P00505	GOT2
18235-16	Glycerol-3-phosphate phosphatase	PGP	A6NDG6	PGP
18236-3	Galectin-related protein	LEGL	Q3ZCW2	LGALSL
