AptamerId	SomaId	Target	TargetFullName	UniProt	EntrezGeneID	EntrezGeneSymbol
4792-51	SL016148	C34 gp41 HIV Fragment	gp41 C34 peptide, HIV	Q70626	NA	Human-virus
4900-8	SL000313	C3a	C3a anaphylatoxin	P01024	718	C3
2755-8	SL003220	C3adesArg	C3a anaphylatoxin des Arginine	P01024	718	C3
4480-59	SL000314	C3b	Complement C3b	P01024	718	C3
4481-34	SL000316	C4	Complement C4	P0C0L4 P0C0L5	720 721	C4A C4B
2182-54	SL000318	C4b	Complement C4b	P0C0L4 P0C0L5	720 721	C4A C4B
2381-52	SL000319	C5	Complement C5	P01031	727	C5
2851-63	SL000320	C5a	C5a anaphylatoxin	P01031	727	C5
4482-66	SL000321	C5b, 6 Complex	Complement C5b-C6 complex	P01031 P13671	727 729	C5 C6
4127-75	SL000322	C6	Complement component C6	P13671	729	C6
2888-49	SL000323	C7	Complement component C7	P10643	730	C7
2429-27	SL000324	C8	Complement component C8	P07357 P07358 P07360	731 732 733	C8A C8B C8G
3060-43	SL000325	C9	Complement component C9	P02748	735	C9
5410-53	SL007295	CAD15	Cadherin-15	P55291	1013	CDH15
3592-4	SL010489	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	Q14012	8536	CAMK1
3418-12	SL010490	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	Q8IU85	57118	CAMK1D
3350-53	SL010491	CAMK2A	Calcium/calmodulin-dependent protein kinase type II subunit alpha	Q9UQM7	815	CAMK2A
3351-1	SL010492	CAMK2B	Calcium/calmodulin-dependent protein kinase type II subunit beta	Q13554	816	CAMK2B
3419-49	SL010493	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta	Q13557	817	CAMK2D
4968-50	SL008099	CAPG	Macrophage-capping protein	P40121	822	CAPG
3178-5	SL007280	CATC	Dipeptidyl peptidase 1	P53634	1075	CTSC
3594-6	SL007121	CATE	Cathepsin E	P14091	1510	CTSE
4971-1	SL008380	CATZ	Cathepsin Z	Q9UBR2	1522	CTSZ
4785-30	SL000347	CBG	Corticosteroid-binding globulin	P08185	866	SERPINA6
5343-74	SL008703	CBPE	Carboxypeptidase E	P16870	1363	CPE
4540-11	SL009768	CBX5	Chromobox protein homolog 5	P45973	23468	CBX5
2890-59	SL003303	CCL28	C-C motif chemokine 28	Q9NRJ3	56477	CCL28
3290-50	SL008773	CD109	CD109 antigen	Q6YHK3	135228	CD109
2891-1	SL004330	CD22	B-cell receptor CD22	P20273	933	CD22
5062-60	SL011100	CD226	CD226 antigen	Q15762	10666	CD226
3291-30	SL002706	CD23	Low affinity immunoglobulin epsilon Fc receptor	P06734	2208	FCER2
5412-53	SL004134	CD27	CD27 antigen	P26842	939	CD27
2605-49	SL004180	CD30	Tumor necrosis factor receptor superfamily member 8	P28908	943	TNFRSF8
3421-54	SL004635	CD30 Ligand	Tumor necrosis factor ligand superfamily member 8	P32971	944	TNFSF8
2973-15	SL000668	CD36 ANTIGEN	Platelet glycoprotein 4	P16671	948	CD36
3182-38	SL010371	CD39	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	953	ENTPD1
3534-14	SL003862	CD40 ligand, soluble	CD40 ligand	P29965	959	CD40LG
3292-75	SL010450	CD48	CD48 antigen	P09326	962	CD48
3293-2	SL006108	CD5L	CD5 antigen-like	O43866	922	CD5L
2822-56	SL004726	CD97	CD97 antigen	P48960	976	CD97
3879-50	SL011232	CDC37	Hsp90 co-chaperone Cdc37	Q16543	11140	CDC37
3422-4	SL010494	CDK1/cyclin B	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex	P06493 P14635	983 891	CDC2 CCNB1
3357-67	SL010495	CDK2/cyclin A	Cyclin-dependent kinase 2:Cyclin-A2 complex	P24941 P20248	1017 890	CDK2 CCNA2
3358-51	SL010496	CDK5/p35	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	Q00535 Q15078	1020 8851	CDK5 CDK5R1
3359-11	SL010522	CDK8/cyclin C	Cyclin-dependent kinase 8:Cyclin-C complex	P49336 P24863	1024 892	CDK8 CCNC
4541-49	SL014092	CDON	Cell adhesion molecule-related/down-regulated by oncogenes	Q4KMG0	50937	CDON
3294-55	SL010451	CFC1	Cryptic protein	P0CG37	55997	CFC1
2853-68	SL006911	CHK1	Serine/threonine-protein kinase Chk1	O14757	1111	CHEK1
3601-54	SL008936	CHL1	Neural cell adhesion molecule L1-like protein	O00533	10752	CHL1
4428-1	SL013988	CHST2	Carbohydrate sulfotransferase 2	Q9Y4C5	9435	CHST2
4429-51	SL014130	CHST6	Carbohydrate sulfotransferase 6	Q9GZX3	4166	CHST6
3800-71	SL000377	CK-BB	Creatine kinase B-type	P12277	1152	CKB
3714-49	SL000382	CK-MB	Creatine kinase M-type:Creatine kinase B-type heterodimer	P12277 P06732	1152 1158	CKB CKM
2670-67	SL000383	CK-MM	Creatine kinase M-type	P06732	1158	CKM
5225-50	SL016550	CK2-A1:B	Casein kinase II 2-alpha:2-beta heterotetramer	P68400 P67870	1457 1460	CSNK2A1 CSNK2B
5226-36	SL016551	CK2-A2:B	Casein kinase II 2-alpha':2-beta heterotetramer	P19784 P67870	1459 1460	CSNK2A2 CSNK2B
5345-51	SL006675	CKAP2	Cytoskeleton-associated protein 2	Q8WWK9	26586	CKAP2
4332-6	SL013488	CLC1B	C-type lectin domain family 1 member B	Q9P126	51266	CLEC1B
3361-26	SL010610	CLC4K	C-type lectin domain family 4 member K	Q9UJ71	50489	CD207
3603-60	SL007640	CLC7A	C-type lectin domain family 7 member A	Q9BXN2	64581	CLEC7A
2607-54	SL004692	CLF-1/CLC Complex	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	O75462 Q9UBD9	9244 23529	CRLF1 CLCF1
5066-134	SL014270	CLM6	CMRF35-like molecule 6	Q08708	10871	CD300C
3489-9	SL004331	CNTF	Ciliary neurotrophic factor	P26441	1270	CNTF
2711-6	SL005153	CNTFR alpha	Ciliary neurotrophic factor receptor subunit alpha	P26992	1271	CNTFR
3296-92	SL008623	CNTN2	Contactin-2	Q02246	6900	CNTN2
4807-13	SL008072	CO8A1	Collagen alpha-1(VIII) chain	P27658	1295	COL8A1
2823-7	SL004704	COMMD7	COMM domain-containing protein 7	Q86VX2	149951	COMMD7
4543-65	SL014048	CONA1	Collagen alpha-1(XXIII) chain	Q86Y22	91522	COL23A1
3761-4	SL000027	COX-2	Prostaglandin G/H synthase 2	P35354	5743	PTGS2
5346-24	SL011808	CPNE1	Copine-1	Q99829	8904	CPNE1
3362-61	SL009400	CRDL1	Chordin-like protein 1	Q9BU40	91851	CHRDL1
3187-52	SL007284	CRIS3	Cysteine-rich secretory protein 3	P54108	10321	CRISP3
4976-57	SL013240	CRK	Adapter molecule crk	P46108	1398	CRK
4337-49	SL000051	CRP	C-reactive protein	P02741	1401	CRP
5068-54	SL014208	CRTAM	Cytotoxic and regulatory T-cell molecule	O95727	56253	CRTAM
3738-54	SL002684	CSF-1	Macrophage colony-stimulating factor 1	P09603	1435	CSF1
3363-31	SL004781	CSK	Tyrosine-protein kinase CSK	P41240	1445	CSK
3427-63	SL007324	CSK21	Casein kinase II subunit alpha	P68400	1457	CSNK2A1
2192-63	SL003168	CTACK	C-C motif chemokine 27	Q9Y4X3	10850	CCL27
4544-4	SL004708	CTAP-III	Connective tissue-activating peptide III	P02775	5473	PPBP
2975-19	SL002655	CTGF	Connective tissue growth factor	P29279	1490	CTGF
3022-4	SL000384	CTLA-4	Cytotoxic T-lymphocyte protein 4	P16410	1493	CTLA4
2436-49	SL004016	CXCL16, soluble	C-X-C motif chemokine 16	Q9H2A7	58191	CXCL16
3803-10	SL008382	CYTD	Cystatin-D	P28325	1473	CST5
3302-58	SL007049	CYTF	Cystatin-F	O76096	8530	CST7
5459-33	SL010456	CYTN	Cystatin-SN	P01037	1469	CST1
4324-33	SL008516	CYTT	Cystatin-SA	P09228	1470	CST2
3877-67	SL004938	CaMKK alpha	Calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9	84254	CAMKK1
2501-51	SL000055	Cadherin E	Cadherin-1	P12830	999	CDH1
3656-9	SL004864	Cadherin-12	Cadherin-12	P55289	1010	CDH12
3797-1	SL000638	Cadherin-2	Cadherin-2	P19022	1000	CDH2
2819-23	SL002081	Cadherin-5	Cadherin-5	P33151	1003	CDH5
3591-51	SL004865	Cadherin-6	Cadherin-6	P55285	1004	CDH6
4903-72	SL003657	Calcineurin	Calcineurin	Q08209 P63098	5530 5534	PPP3CA PPP3R1
3657-74	SL004720	Calcineurin B a	Calcineurin subunit B type 1	P63098	5534	PPP3R1
2668-70	SL000337	Calpain I	Calpain I	P07384 P04632	823 826	CAPN1 CAPNS1
3026-5	SL000338	Calpastatin	Calpastatin	P20810	831	CAST
3177-49	SL010369	Carbonic Anhydrase IV	Carbonic anhydrase 4	P22748	762	CA4
3289-19	SL010449	Carbonic Anhydrase X	Carbonic anhydrase-related protein 10	Q9NS85	56934	CA10
3352-80	SL010288	Carbonic anhydrase 6	Carbonic anhydrase 6	P23280	765	CA6
3798-71	SL005508	Carbonic anhydrase 9	Carbonic anhydrase 9	Q16790	768	CA9
4969-2	SL004866	Carbonic anhydrase I	Carbonic anhydrase 1	P00915	759	CA1
3799-11	SL004867	Carbonic anhydrase III	Carbonic anhydrase 3	P07451	761	CA3
3356-50	SL004868	Carbonic anhydrase VII	Carbonic anhydrase 7	P43166	766	CA7
3420-21	SL004869	Carbonic anhydrase XIII	Carbonic anhydrase 13	Q8N1Q1	377677	CA13
2889-37	SL002783	Cardiotrophin-1	Cardiotrophin-1	Q16619	1489	CTF1
5340-24	SL003717	Caspase-10	Caspase-10	Q92851	843	CASP10
4904-7	SL003710	Caspase-2	Caspase-2	P42575	835	CASP2
3593-72	SL003711	Caspase-3	Caspase-3	P42574	836	CASP3
3488-64	SL000342	Catalase	Catalase	P04040	847	CAT
3179-51	SL009213	Cathepsin A	Lysosomal protective protein	P10619	5476	CTSA
3061-61	SL000343	Cathepsin B	Cathepsin B	P07858	1508	CTSB
2431-17	SL000345	Cathepsin G	Cathepsin G	P08311	1511	CTSG
3181-50	SL004673	Cathepsin S	Cathepsin S	P25774	1520	CTSS
3364-76	SL006910	Cathepsin V	Cathepsin L2	O60911	1515	CTSV
3600-2	SL006029	Chitotriosidase-1	Chitotriosidase-1	Q13231	1118	CHIT1
3360-50	SL003726	Chk2	Serine/threonine-protein kinase Chk2	O96017	11200	CHEK2
3423-59	SL005250	Chymase	Chymase	P23946	1215	CMA1
3028-36	SL003301	Ck-b-8-1	Ck-beta-8-1	P55773	6368	CCL23
4542-24	SL001896	Clusterin	Clusterin	P10909	1191	CLU
4905-63	SL004814	Coactosin-like protein	Coactosin-like protein	Q14019	23406	COTL1
4876-32	SL000357	Coagulation Factor IX	Coagulation factor IX	P00740	2158	F9
5307-12	SL004400	Coagulation Factor IXab	Coagulation factor IXab	P00740	2158	F9
4906-35	SL000622	Coagulation Factor V	Coagulation Factor V	P12259	2153	F5
3184-25	SL000358	Coagulation Factor VII	Coagulation factor VII	P08709	2155	F7
4878-3	SL000360	Coagulation Factor X	Coagulation Factor X	P00742	2159	F10
2190-55	SL002662	Coagulation Factor XI	Coagulation Factor XI	P03951	2160	F11
3077-66	SL003324	Coagulation Factor Xa	Coagulation factor Xa	P00742	2159	F10
4203-50	SL004920	Cofilin-1	Cofilin-1	P23528	1072	CFL1
4430-44	SL006713	Collectin Kidney 1	Collectin-11	Q9BWP8	78989	COLEC11
3298-52	SL010454	Contactin-4	Contactin-4	Q8IWV2	152330	CNTN4
3299-29	SL010455	Contactin-5	Contactin-5	O94779	53942	CNTN5
5347-59	SL000130	Cyclin B1	G2/mitotic-specific cyclin-B1	P14635	891	CCNB1
3844-2	SL004823	Cyclophilin A	Peptidyl-prolyl cis-trans isomerase A	P62937	5478	PPIA
5248-68	SL005793	Cyclophilin F	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405	10105	PPIF
2609-59	SL001777	Cystatin C	Cystatin-C	P01034	1471	CST3
3303-23	SL004438	Cystatin M	Cystatin-M	Q15828	1474	CST6
3802-50	SL007888	Cystatin-S	Cystatin-S	P01036	1472	CST4
4786-58	SL007871	Cytidylate kinase	UMP-CMP kinase	P30085	51727	CMPK1
2943-5	SL000398	Cytochrome P450 3A4	Cytochrome P450 3A4	P08684	1576	CYP3A4
2942-50	SL000396	Cytochrome c	Cytochrome c	P99999	54205	CYCS
4907-56	SL000022	D-dimer	D-dimer	P02671 P02675 P02679	2243 2244 2266	FGA FGB FGG
5069-9	SL004556	DAF	Complement decay-accelerating factor	P08174	1604	CD55
2944-66	SL005156	DAN	Neuroblastoma suppressor of tumorigenicity 1	P41271	4681	NBL1
4355-13	SL007752	DAPK2	Death-associated protein kinase 2	Q9UIK4	23604	DAPK2
4978-54	SL011628	DBNL	Drebrin-like protein	Q9UJU6	28988	DBNL
3029-52	SL005157	DC-SIGN	CD209 antigen	Q9NNX6	30835	CD209
3030-3	SL005158	DC-SIGNR	C-type lectin domain family 4 member M	Q9H2X3	10332	CLEC4M
4979-34	SL008178	DERM	Dermatopontin	Q07507	1805	DPT
4389-2	SL007003	DHH	Desert hedgehog protein N-product	O43323	50846	DHH
3535-84	SL004367	DKK1	Dickkopf-related protein 1	O94907	22943	DKK1
3607-71	SL009412	DKK3	Dickkopf-related protein 3	Q9UBP4	27122	DKK3
3881-49	SL003753	DLC8	Dynein light chain 1, cytoplasmic	P63167	8655	DYNLL1
5349-69	SL006970	DLL1	Delta-like protein 1	O00548	28514	DLL1
3305-6	SL010457	DLL4	Delta-like protein 4	Q9NR61	54567	DLL4
3845-51	SL011530	DLRB1	Dynein light chain roadblock-type 1	Q9NP97	83658	DYNLRB1
3608-12	SL008916	DPP2	Dipeptidyl peptidase 2	Q9UHL4	29952	DPP7
5073-30	SL004791	DR3	Tumor necrosis factor receptor superfamily member 25	Q93038	8718	TNFRSF25
5404-53	SL004871	DR6	Tumor necrosis factor receptor superfamily member 21	O75509	27242	TNFRSF21
5249-31	SL016566	DRAK2	Serine/threonine-protein kinase 17B	O94768	9262	STK17B
4209-60	SL004757	DRG-1	Vacuolar protein sorting-associated protein VTA1 homolog	Q9NP79	51534	VTA1
2760-2	SL004752	DRR1	Protein FAM107A	O95990	11170	FAM107A
4981-6	SL008709	DSC3	Desmocollin-3	Q14574	1825	DSC3
3480-7	SL008122	DUS3	Dual specificity protein phosphatase 3	P51452	1845	DUSP3
4359-87	SL013570	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3	O43781	8444	DYRK3
5070-76	SL003739	DcR3	Tumor necrosis factor receptor superfamily member 6B	O95407	8771	TNFRSF6B
2976-58	SL004856	Desmoglein-1	Desmoglein-1	Q02413	1828	DSG1
5071-3	SL004857	Desmoglein-2	Desmoglein-2	Q14126	1829	DSG2
3365-7	SL010612	Dkk-4	Dickkopf-related protein 4	Q9UBT3	27121	DKK4
4545-53	SL006197	DnaJ homolog	Mitochondrial import inner membrane translocase subunit TIM14	Q96DA6	131118	DNAJC19
2611-72	SL004136	Dtk	Tyrosine-protein kinase receptor TYRO3	Q06418	7301	TYRO3
3366-51	SL006550	ECM1	Extracellular matrix protein 1	Q16610	1893	ECM1
2826-53	SL004644	EDA	Ectodysplasin-A, secreted form	Q92838	1896	EDA
2977-7	SL004872	EDAR	Tumor necrosis factor receptor superfamily member EDAR	Q9UNE0	10913	EDAR
2247-20	SL004332	EG-VEGF	Prokineticin-1	P58294	84432	PROK1
2714-78	SL003334	EMAP-2	Endothelial monocyte-activating polypeptide 2	Q12904	9255	AIMP1
4546-27	SL008822	EMR2	Adhesion G protein-coupled receptor E2	Q9UHX3	30817	ADGRE2
2979-8	SL003169	ENA-78	C-X-C motif chemokine 5	P42830	6374	CXCL5
4435-66	SL009045	ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	Q6UWV6	339221	ENPP7
4436-1	SL014093	ENTP3	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	956	ENTPD3
4437-56	SL014028	ENTP5	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	957	ENTPD5
4212-5	SL012188	EP15R	Epidermal growth factor receptor substrate 15-like 1	Q9UBC2	58513	EPS15L1
3432-21	SL010498	EPHA3	Ephrin type-A receptor 3	P29320	2042	EPHA3
5076-53	SL014294	EPHAA	Ephrin type-A receptor 10	Q5JZY3	284656	EPHA10
5077-28	SL007179	EPHB2	Ephrin type-B receptor 2	P29323	2048	EPHB2
4956-2	SL000139	EPI	Epiregulin	O14944	2069	EREG
2715-25	SL005159	EPO-R	Erythropoietin receptor	P19235	2057	EPOR
2945-25	SL000007	ER	Estrogen receptor	P03372	2099	ESR1
4217-49	SL004795	ERAB	3-hydroxyacyl-CoA dehydrogenase type-2	Q99714	3028	HSD17B10
2677-1	SL002644	ERBB1	Epidermal growth factor receptor	P00533	1956	EGFR
2616-23	SL000009	ERBB2	Receptor tyrosine-protein kinase erbB-2	P04626	2064	ERBB2
2617-56	SL002519	ERBB3	Receptor tyrosine-protein kinase erbB-3	P21860	2065	ERBB3
2618-10	SL003803	ERBB4	Receptor tyrosine-protein kinase erbB-4	Q15303	2066	ERBB4
2855-49	SL000409	ERK-1	Mitogen-activated protein kinase 3	P27361	5595	MAPK3
4983-6	SL003522	ERP29	Endoplasmic reticulum resident protein 29	P30040	10961	ERP29
2981-9	SL005160	ESAM	Endothelial cell-selective adhesion molecule	Q96AP7	90952	ESAM
3847-56	SL011532	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	O95571	23474	ETHE1
4982-54	SL004458	Elafin	Elafin	P19957	5266	PI3
5308-89	SL000401	Elastase	Neutrophil elastase	P08246	1991	ELANE
3805-16	SL010458	Endocan	Endothelial cell-specific molecule 1	Q9NQ30	11082	ESM1
4908-6	SL004482	Endoglin	Endoglin	P17813	2022	ENG
2201-17	SL000403	Endostatin	Endostatin	P39060	80781	COL18A1
3611-70	SL004060	Endothelin-converting enzyme 1	Endothelin-converting enzyme 1	P42892	1889	ECE1
3189-61	SL010372	Enterokinase	Enteropeptidase	P98073	5651	TMPRSS15
5301-7	SL000406	Eotaxin	Eotaxin	P51671	6356	CCL11
4128-27	SL003104	Eotaxin-2	C-C motif chemokine 24	O00175	6369	CCL24
3431-54	SL004137	EphA1	Ephrin type-A receptor 1	P21709	2041	EPHA1
3806-55	SL004844	EphA5	Ephrin type-A receptor 5	P54756	2044	EPHA5
3612-6	SL004845	EphB4	Ephrin type-B receptor 4	P54760	2050	EPHB4
5078-82	SL008414	EphB6	Ephrin type-B receptor 6	O15197	2051	EPHB6
2614-28	SL004140	Ephrin-A4	Ephrin-A4	P52798	1945	EFNA4
2615-60	SL004141	Ephrin-A5	Ephrin-A5	P52803	1946	EFNA5
2514-65	SL004142	Ephrin-B3	Ephrin-B3	Q15768	1949	EFNB3
4834-61	SL002654	Epithelial cell kinase	Ephrin type-A receptor 2	P29317	1969	EPHA2
4984-83	SL006378	Esterase D	S-formylglutathione hydrolase	P10768	2098	ESD
4985-11	SL005352	FABPE	Fatty acid-binding protein, epidermal	Q01469	2171	FABP5
4986-59	SL012248	FAK1	Focal adhesion kinase 1	Q05397	5747	PTK2
4774-62	SL016129	FAM107B	Protein FAM107B	Q9H098	83641	FAM107B
4987-17	SL010373	FCAR	Immunoglobulin alpha Fc receptor	P24071	2204	FCAR
3311-27	SL008609	FCG3B	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	2215	FCGR3B
3312-64	SL010461	FCGR1	High affinity immunoglobulin gamma Fc receptor I	P12314	2209	FCGR1A
3613-62	SL010462	FCN1	Ficolin-1	O00602	2219	FCN1
3313-21	SL006542	FCN2	Ficolin-2	Q15485	2220	FCN2
4440-15	SL014088	FCRL3	Fc receptor-like protein 3	Q96P31	115352	FCRL3
4220-39	SL005588	FER	Tyrosine-protein kinase Fer	P16591	2241	FER
3367-8	SL006777	FETUB	Fetuin-B	Q9UGM5	26998	FETUB
2441-2	SL004333	FGF-10	Fibroblast growth factor 10	O15520	2255	FGF10
4392-54	SL005161	FGF-12	Fibroblast growth factor 12	P61328	2257	FGF12
4393-3	SL004334	FGF-16	Fibroblast growth factor 16	O43320	8823	FGF16
3494-71	SL004335	FGF-17	Fibroblast growth factor 17	O60258	8822	FGF17
2761-49	SL004336	FGF-18	Fibroblast growth factor 18	O76093	8817	FGF18
2762-30	SL004337	FGF-19	Fibroblast growth factor 19	O95750	9965	FGF19
2763-66	SL004338	FGF-20	Fibroblast growth factor 20	Q9NP95	26281	FGF20
4123-60	SL003171	FGF-4	Fibroblast growth factor 4	P08620	2249	FGF4
3065-65	SL004339	FGF-5	Fibroblast growth factor 5	P12034	2250	FGF5
4130-71	SL004340	FGF-6	Fibroblast growth factor 6	P10767	2251	FGF6
4394-71	SL014308	FGF-8A	Fibroblast growth factor 8 isoform A	P55075	2253	FGF8
2443-10	SL004342	FGF-8B	Fibroblast growth factor 8 isoform B	P55075	2253	FGF8
3807-1	SL007651	FGF23	Fibroblast growth factor 23	Q9GZV9	8074	FGF23
4487-1	SL001691	FGF7	Fibroblast growth factor 7	P21781	2252	FGF7
2764-20	SL003849	FGF9	Fibroblast growth factor 9	P31371	2254	FGF9
3808-76	SL003990	FGFR-2	Fibroblast growth factor receptor 2	P21802	2263	FGFR2
3809-1	SL004063	FGFR-3	Fibroblast growth factor receptor 3	P22607	2261	FGFR3
4988-49	SL002036	FGFR4	Fibroblast growth factor receptor 4	P22455	2264	FGFR4
3810-50	SL006912	FGR	Tyrosine-protein kinase Fgr	P09769	2268	FGR
4547-59	SL014071	FLRT1	Leucine-rich repeat transmembrane protein FLRT1	Q9NZU1	23769	FLRT1
3434-34	SL010349	FN1.3	Fibronectin Fragment 3	P02751	2335	FN1
3435-53	SL010348	FN1.4	Fibronectin Fragment 4	P02751	2335	FN1
3032-11	SL000428	FSH	Follicle stimulating hormone	P01215 P01225	1081 2488	CGA FSHB
4132-27	SL000674	FST	Follistatin	P19883	10468	FST
3438-10	SL009324	FSTL3	Follistatin-related protein 3	O95633	10272	FSTL3
4549-78	SL014008	FUT5	Alpha-(1,3)-fucosyltransferase 5	Q11128	2527	FUT5
3813-3	SL006913	FYN	Tyrosine-protein kinase Fyn	P06241	2534	FYN
4129-72	SL000414	Factor B	Complement factor B	P00751	629	CFB
2946-52	SL003327	Factor D	Complement factor D	P00746	1675	CFD
4159-130	SL000415	Factor H	Complement factor H	P08603	3075	CFH
2567-5	SL003328	Factor I	Complement factor I	P05156	3426	CFI
3052-8	SL000633	Fas ligand, soluble	Tumor necrosis factor ligand superfamily member 6, soluble form	P48023	356	FASLG
2796-62	SL000424	Fibrinogen	Fibrinogen	P02671 P02675 P02679	2243 2244 2266	FGA FGB FGG
4989-7	SL003341	Fibrinogen g-chain dimer	Fibrinogen gamma chain	P02679	2266	FGG
4131-72	SL000426	Fibronectin	Fibronectin	P02751	2335	FN1
3437-80	SL004636	Flt-3	Receptor-type tyrosine-protein kinase FLT3	P36888	2322	FLT3
3053-49	SL004343	Flt3 ligand	Fms-related tyrosine kinase 3 ligand	P49771	2323	FLT3LG
2827-23	SL000427	Fractalkine/CX3CL-1	Fractalkine	P78423	6376	CX3CL1
4548-4	SL005575	Fucosyltransferase 3	Galactoside 3(4)-L-fucosyltransferase	P21217	2525	FUT3
4840-73	SL001729	G-CSF	Granulocyte colony-stimulating factor	P09919	1440	CSF3
2719-3	SL004591	G-CSF-R	Granulocyte colony-stimulating factor receptor	Q99062	1441	CSF3R
2619-72	SL001890	GA733-1 protein	Tumor-associated calcium signal transducer 2	P09758	4070	TACSTD2
3848-14	SL003785	GAPDH, liver	Glyceraldehyde-3-phosphate dehydrogenase	P04406	2597	GAPDH
5223-59	SL015728	GCKR	Glucokinase regulatory protein	Q14397	2646	GCKR
3495-15	SL003172	GCP-2	C-X-C motif chemokine 6	P80162	6372	CXCL6
3067-67	SL005234	GDF-9	Growth/differentiation factor 9	O60383	2661	GDF9
4880-21	SL007756	GDF2	Growth/differentiation factor 2	Q9UK05	2658	GDF2
3034-1	SL004271	GFAP	Glial fibrillary acidic protein	P14136	2670	GFAP
3314-74	SL004858	GFRa-1	GDNF family receptor alpha-1	P56159	2674	GFRA1
2515-14	SL004143	GFRa-2	GDNF family receptor alpha-2	O00451	2675	GFRA2
2505-49	SL004144	GFRa-3	GDNF family receptor alpha-3	O60609	2676	GFRA3
5280-68	SL016563	GHC2	Mitochondrial glutamate carrier 2	Q9H1K4	83733	SLC25A18
4910-21	SL004064	GIB	Phospholipase A2	P04054	5319	PLA2G1B
2447-7	SL004066	GIIE	Group IIE secretory phospholipase A2	Q9NZK7	30814	PLA2G2E
4697-59	SL001726	GM-CSF	Granulocyte-macrophage colony-stimulating factor	P04141	1437	CSF2
3616-3	SL008504	GNS	N-acetylglucosamine-6-sulfatase	P15586	2799	GNS
4912-17	SL000280	GOT1	Aspartate aminotransferase, cytoplasmic	P17174	2805	GOT1
4551-72	SL014094	GP114	Adhesion G-protein coupled receptor G5	Q8IZF4	221188	ADGRG5
4990-87	SL006460	GP1BA	Platelet glycoprotein Ib alpha chain	P07359	2811	GP1BA
3315-15	SL010463	GPC2	Glypican-2	Q8N158	221914	GPC2
4991-12	SL012469	GPC5	Glypican-5	P78333	2262	GPC5
5080-131	SL007429	GPNMB	Transmembrane glycoprotein NMB	Q14956	10457	GPNMB
3194-36	SL008759	GPVI	Platelet glycoprotein VI	Q9HCN6	51206	GP6
5265-12	SL005725	GRB2-related adapter protein 2	GRB2-related adapter protein 2	O75791	9402	GRAP2
4449-67	SL007024	GREM1	Gremlin-1	O60565	26585	GREM1
4992-49	SL007173	GRN	Granulins	P28799	2896	GRN
3441-64	SL017188	GSK-3 alpha/beta	Glycogen synthase kinase-3 alpha/beta	P49840 P49841	2931 2932	GSK3A GSK3B
4993-16	SL000670	GSTA3	Glutathione S-transferase A3	Q16772	2940	GSTA3
2449-1	SL004182	GV	Calcium-dependent phospholipase A2	P39877	5322	PLA2G5
2949-6	SL004067	GX	Group 10 secretory phospholipase A2	O15496	8399	PLA2G10
3033-57	SL005164	Galectin-2	Galectin-2	P05162	3957	LGALS2
3066-12	SL003744	Galectin-3	Galectin-3	P17931	3958	LGALS3
2982-82	SL005165	Galectin-4	Galectin-4	P56470	3960	LGALS4
4909-68	SL005167	Galectin-8	Galectin-8	O00214	3964	LGALS8
4775-34	SL005572	Gelsolin	Gelsolin	P06396	2934	GSN
4891-50	SL000433	Glucagon	Glucagon	P01275	2641	GCG
2857-70	SL006914	Glucocorticoid receptor	Glucocorticoid receptor	P04150	2908	NR3C1
3192-3	SL002695	Glutamate carboxypeptidase	Cytosolic non-specific dipeptidase	Q96KP4	55748	CNDP2
4911-49	SL003643	Glutathione S-transferase Pi	Glutathione S-transferase P	P09211	2950	GSTP1
4842-62	SL000070	Glypican 3	Glypican-3	P51654	2719	GPC3
3195-50	SL000678	Granulysin	Granulysin	P22749	10578	GNLY
4133-54	SL004068	Granzyme B	Granzyme B	P10144	3002	GZMB
3373-5	SL004654	Granzyme H	Granzyme H	P20718	2999	GZMH
2985-35	SL003173	Gro-a	Growth-regulated alpha protein	P09341	2919	CXCL1
2986-49	SL017610	Gro-b/g	Gro-beta/gamma	P19876 P19875	NA	CXCL3 CXCL2
2948-58	SL005168	Growth hormone receptor	Growth hormone receptor	P10912	2690	GHR
2828-82	SL004645	HAI-1	Kunitz-type protease inhibitor 1	O43278	6692	SPINT1
4134-4	SL000138	HB-EGF	Heparin-binding EGF-like growth factor	Q99075	1839	HBEGF
2900-53	SL003329	HCC-1	C-C motif chemokine 14	Q16627	6358	CCL14
4913-78	SL003300	HCC-4	C-C motif chemokine 16	O15467	6360	CCL16
