"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"2631-50_2"	"SL004147"	"IL-10 Rb"	"Interleukin-10 receptor subunit beta"	"21"	"33266358"	"33297234"	"IL10RB"	"3588"	"Q08334"	""	""	""	""	"IL10R -> STAT signaling|IL22R -> STAT3 signaling"	""	""	"Shared cell surface receptor required for the activation of five class 2 cytokines: IL10, IL22, IL26, IL28, and IFNL1. The IFNLR1/IL10RB dimer is a receptor for the cytokine ligands IFNL2 and IFNL3 and mediates their antiviral activity. The ligand/receptor complex stimulate the activation of the JAK/STAT signaling pathway leading to the expression of IFN-stimulated genes (ISG), which contribute to the antiviral state."	""	"TRUE"
"2632-5_2"	"SL004148"	"IL-12 Rb1"	"Interleukin-12 receptor subunit beta-1"	"19"	"18058995"	"18098944"	"IL12RB1"	"3594"	"P42701"	""	"IL12-mediated signaling events|IL23-mediated signaling events|IL27-mediated signaling events"	""	""	"CD8+ T-cell Activation|IL12R -> NF-kB/NFATC signaling|IL12R -> STAT signaling|Th1 Cell Differentiation|Th17 Cell Differentiation"	""	""	"Functions as an interleukin receptor which binds interleukin-12 with low affinity and is involved in IL12 transduction. Associated with IL12RB2 it forms a functional, high affinity receptor for IL12. Associates also with IL23R to form the interleukin-23 receptor which functions in IL23 signal transduction probably through activation of the Jak-Stat signaling cascade."	"55"	"TRUE"
"2633-52_2"	"SL004149"	"IL-13 Ra1"	"Interleukin-13 receptor subunit alpha-1"	"X"	"118727572"	"118794539"	"IL13RA1"	"3597"	"P78552"	""	"IL4-mediated signaling events"	""	""	"Activation of Immunoglobulin Class-Switch Recombination|IL13R -> STAT signaling|IL13R -> STAT6 signaling|Transcriptional Activation of Immunoglobulin Genes"	"cintredekin besudotox"	""	"Binds with low affinity to interleukin-13 (IL13). Together with IL4RA can form a functional receptor for IL13. Also serves as an alternate accessory protein to the common cytokine receptor gamma chain for interleukin-4 (IL4) signaling, but cannot replace the function of IL2RG in allowing enhanced interleukin-2 (IL2) binding activity."	""	"TRUE"
"2634-2_2"	"SL003307"	"IL-2 sRg"	"Cytokine receptor common subunit gamma"	"X"	"71107404"	"71112108"	"IL2RG"	"3561"	"P31785"	"IL-2 Signaling pathway|IL-4 signaling pathway|IL-7 signaling pathway|IL-9 signaling pathway|Inflammatory Response Pathway"	"Downstream signaling in na&#xef;ve CD8+ T cells|IL12-mediated signaling events|IL2 signaling events mediated by PI3K|IL2 signaling events mediated by STAT5|IL2-mediated signaling events|IL4-mediated signaling events|SHP2 signaling"	""	"G beta:gamma signalling through PI3Kgamma|GPVI-mediated activation cascade|Interleukin receptor SHC signaling|Interleukin-2 signaling|Interleukin-7 signaling"	"Activation of Immunoglobulin Class-Switch Recombination|CD8+ T-cell Activation|IL13R -> STAT6 signaling|IL15R -> NF-kB/NFATC signaling|IL15R -> STAT signaling|IL21R -> STAT signaling|IL2R -> ELK-SRF/MYC signaling|IL2R -> STAT signaling|IL4R -> ELK-SRF/HMGY signaling|IL4R -> STAT signaling|IL7R -> FOXO/NF-kB signaling|IL7R -> STAT signaling|IL9R -> STAT signaling|Model of T-cell Maturation|Natural Killer Cell Activation|Regulatory T-cell Differentiation|T-cell-Dependent B-cell Activation|Th17 Cell Differentiation|Th2 Cell Differentiation|V(D)J Recombination Activation"	"aldesleukin|denileukin diftitox"	"unspecified application"	"Common subunit for the receptors for a variety of interleukins."	""	"TRUE"
"2635-61_2"	"SL004646"	"Layilin"	"Layilin"	"11"	"111540280"	"111561745"	"LAYN"	"143903"	"Q6UX15"	""	""	""	""	""	""	""	"Receptor for hyaluronate."	""	"TRUE"
"2636-10_2"	"SL000509"	"Lymphotoxin b R"	"Tumor necrosis factor receptor superfamily member 3"	"12"	"6375045"	"6391571"	"LTBR"	"4055"	"P36941"	""	""	""	""	""	""	""	"Receptor for the heterotrimeric lymphotoxin containing LTA and LTB, and for TNFS14/LIGHT. Promotes apoptosis via TRAF3 and TRAF5. May play a role in the development of lymphoid organs."	""	"TRUE"
"2637-77_2"	"SL004579"	"Macrophage mannose receptor"	"Macrophage mannose receptor 1"	"10"	"17809344"	"17911170"	"MRC1"	"4360"	"P22897"	""	""	""	"Cross-presentation of soluble exogenous antigens (endosomes)"	"Mannose Receptor Signaling|Transcytosis"	"technetium Tc 99m tilmanocept"	""	"Mediates the endocytosis of glycoproteins by macrophages. Binds both sulfated and non-sulfated polysaccharide chains."	""	"TRUE"
"2638-12_2"	"SL004153"	"M-CSF R"	"Macrophage colony-stimulating factor 1 receptor"	"5"	"150053291"	"150113372"	"CSF1R"	"1436"	"P07333"	""	"C-MYB transcription factor network|Integrins in angiogenesis|Signaling events mediated by PTP1B|Signaling events mediated by TCPTP"	""	""	"CSF1R -> STAT signaling|Natural Killer Cell Activation through Integrins and non-ITAM-Containing Receptors"	"nilotinib|sunitinib|pazopanib"	"prognosis"	"Tyrosine-protein kinase that acts as cell-surface receptor for CSF1 and IL34 and plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines in response to IL34 and CSF1, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone and tooth development. Required for normal male and female fertility, and for normal development of milk ducts and acinar structures in the mammary gland during pregnancy. Promotes reorganization of the actin cytoskeleton, regulates formation of membrane ruffles, cell adhesion and cell migration, and promotes cancer cell invasion. Activates several signaling pathways in response to ligand binding. Phosphorylates PIK3R1, PLCG2, GRB2, SLA2 and CBL. Activation of PLCG2 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate, that then lead to the activation of protein kinase C family members, especially PRKCD. Phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, leads to activation of the AKT1 signaling pathway. Activated CSF1R also mediates activation of the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1, and of the SRC family kinases SRC, FYN and YES1. Activated CSF1R transmits signals both via proteins that directly interact with phosphorylated tyrosine residues in its intracellular domain, or via adapter proteins, such as GRB2. Promotes activation of STAT family members STAT3, STAT5A and/or STAT5B. Promotes tyrosine phosphorylation of SHC1 and INPP5D/SHIP-1. Receptor signaling is down-regulated by protein phosphatases, such as INPP5D/SHIP-1, that dephosphorylate the receptor and its downstream effectors, and by rapid internalization of the activated receptor."	""	"TRUE"
"2640-3_2"	"SL004637"	"MSP R"	"Macrophage-stimulating protein receptor"	"3"	"49887002"	"49903873"	"MST1R"	"4486"	"Q04912"	""	"a6b1 and a6b4 Integrin signaling|amb2 Integrin signaling"	""	""	""	"crizotinib"	""	"Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to MST1 ligand. Regulates many physiological processes including cell survival, migration and differentiation. Ligand binding at the cell surface induces autophosphorylation of RON on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with the PI3-kinase subunit PIK3R1, PLCG1 or the adapter GAB1. Recruitment of these downstream effectors by RON leads to the activation of several signaling cascades including the RAS-ERK, PI3 kinase-AKT, or PLCgamma-PKC. RON signaling activates the wound healing response by promoting epithelial cell migration, proliferation as well as survival at the wound site. Plays also a role in the innate immune response by regulating the migration and phagocytic activity of macrophages. Alternatively, RON can also promote signals such as cell migration and proliferation in response to growth factors other than MST1 ligand."	""	"TRUE"
"2642-4_1"	"SL004760"	"PAFAH beta subunit"	"Platelet-activating factor acetylhydrolase IB subunit beta"	"11"	"117144267"	"117176894"	"PAFAH1B2"	"5049"	"P68402"	"Lymphocyte TarBase|Muscle cell TarBase"	"Lissencephaly gene (LIS1) in neuronal migration and development"	""	""	""	""	""	"Inactivates PAF by removing the acetyl group at the sn-2 position. This is a catalytic subunit."	""	"TRUE"
"2643-57_2"	"SL004183"	"P-Cadherin"	"Cadherin-3"	"16"	"68636189"	"68722616"	"CDH3"	"1001"	"P22223"	""	""	""	"Adherens junctions interactions"	"Adherens Junction Assembly (Cadherins)"	""	"diagnosis|efficacy|prognosis"	"Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types."	""	"TRUE"
"2644-11_2"	"SL000551"	"PKC-A"	"Protein kinase C alpha type"	"17"	"66302636"	"66810743"	"PRKCA"	"5578"	"P17252"	"Alpha 6 Beta 4 signaling pathway|Calcium Regulation in the Cardiac Cell|EGF/EGFR Signaling Pathway|ErbB signaling pathway|FSH signaling pathway|G Protein Signaling Pathways|Insulin Signaling|Keap1-Nrf2 Pathway|Kit receptor signaling pathway|Myometrial Relaxation and Contraction Pathways|TOR signaling|Wnt Signaling Pathway|Wnt Signaling Pathway and Pluripotency|angiogenesis overview|miRs in Muscle Cell Differentiation"	"ATF-2 transcription factor network|Canonical NF-kappaB pathway|Downstream signaling in na&#xef;ve CD8+ T cells|Endothelins|ErbB1 downstream signaling|IL8- and CXCR1-mediated signaling events|IL8- and CXCR2-mediated signaling events|PAR1-mediated thrombin signaling events|PDGFR-beta signaling pathway|Ras signaling in the CD4+ TCR pathway|Regulation of Ras family activation|Retinoic acid receptors-mediated signaling|Role of Calcineurin-dependent NFAT signaling in lymphocytes|Signaling events mediated by VEGFR1 and VEGFR2|Signaling events regulated by Ret tyrosine kinase|Syndecan-4-mediated signaling events|TCR signaling in na&#xef;ve CD4+ T cells|TCR signaling in na&#xef;ve CD8+ T cells|Thromboxane A2 receptor signaling|VEGFR1 specific signals|a6b1 and a6b4 Integrin signaling|mTOR signaling pathway"	""	"Acetylcholine regulates insulin secretion|Ca2+ pathway|Calmodulin induced events|Depolymerisation of the Nuclear Lamina|Disinhibition of SNARE formation|EGFR Transactivation by Gastrin|G alpha (z) signalling events|HuR stabilizes mRNA|Inactivation, recovery and regulation of the phototransduction cascade|Regulation of KIT signaling|Response to elevated platelet cytosolic Ca2+|Signaling by SCF-KIT|Syndecan interactions|Trafficking of GluR2-containing AMPA receptors|VEGFR2 mediated cell proliferation|WNT5A-dependent internalization of FZD4"	"ADORA3 -> mast cell degranulation|AdrenergicRb -> STAT3 signaling|PTGER2/3 -> inflammation-related expression targets|PTGER2/3 -> vascular motility"	"L-threo-safingol|ingenol mebutate"	""	"Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that is involved in positive and negative regulation of cell proliferation, apoptosis, differentiation, migration and adhesion, tumorigenesis, cardiac hypertrophy, angiogenesis, platelet function and inflammation, by directly phosphorylating targets such as RAF1, BCL2, CSPG4, TNNT2/CTNT, or activating signaling cascade involving MAPK1/3 (ERK1/2) and RAP1GAP. Involved in cell proliferation and cell growth arrest by positive and negative regulation of the cell cycle. Can promote cell growth by phosphorylating and activating RAF1, which mediates the activation of the MAPK/ERK signaling cascade, and/or by up-regulating CDKN1A, which facilitates active cyclin-dependent kinase (CDK) complex formation in glioma cells. In intestinal cells stimulated by the phorbol ester PMA, can trigger a cell cycle arrest program which is associated with the accumulation of the hyper-phosphorylated growth-suppressive form of RB1 and induction of the CDK inhibitors CDKN1A and CDKN1B. Exhibits anti-apoptotic function in glioma cells and protects them from apoptosis by suppressing the p53/TP53-mediated activation of IGFBP3, and in leukemia cells mediates anti-apoptotic action by phosphorylating BCL2. During macrophage differentiation induced by macrophage colony-stimulating factor (CSF1), is translocated to the nucleus and is associated with macrophage development. After wounding, translocates from focal contacts to lamellipodia and participates in the modulation of desmosomal adhesion. Plays a role in cell motility by phosphorylating CSPG4, which induces association of CSPG4 with extensive lamellipodia at the cell periphery and polarization of the cell accompanied by increases in cell motility. Is highly expressed in a number of cancer cells where it can act as a tumor promoter and is implicated in malignant phenotypes of several tumors such as gliomas and breast cancers. Negatively regulates myocardial contractility and positively regulates angiogenesis, platelet aggregation and thrombus formation in arteries. Mediates hypertrophic growth of neonatal cardiomyocytes, in part through a MAPK1/3 (ERK1/2)-dependent signaling pathway, and upon PMA treatment, is required to induce cardiomyocyte hypertrophy up to heart failure and death, by increasing protein synthesis, protein-DNA ratio and cell surface area. Regulates cardiomyocyte function by phosphorylating cardiac troponin T (TNNT2/CTNT), which induces significant reduction in actomyosin ATPase activity, myofilament calcium sensitivity and myocardial contractility. In angiogenesis, is required for full endothelial cell migration, adhesion to vitronectin (VTN), and vascular endothelial growth factor A (VEGFA)-dependent regulation of kinase activation and vascular tube formation. Involved in the stabilization of VEGFA mRNA at post-transcriptional level and mediates VEGFA-induced cell proliferation. In the regulation of calcium-induced platelet aggregation, mediates signals from the CD36/GP4 receptor for granule release, and activates the integrin heterodimer ITGA2B-ITGB3 through the RAP1GAP pathway for adhesion. During response to lipopolysaccharides (LPS), may regulate selective LPS-induced macrophage functions involved in host defense and inflammation. But in some inflammatory responses, may negatively regulate NF-kappa-B-induced genes, through IL1A-dependent induction of NF-kappa-B inhibitor alpha (NFKBIA/IKBA). Upon stimulation with 12-O-tetradecanoylphorbol-13-acetate (TPA), phosphorylates EIF4G1, which modulates EIF4G1 binding to MKNK1 and may be involved in the regulation of EIF4E phosphorylation. Phosphorylates KIT, leading to inhibition of KIT activity. Phosphorylates ATF2 which promotes cooperation between ATF2 and JUN, activating transcription."	""	"FALSE"
"2645-54_1"	"SL000557"	"PKC-Z"	"Protein kinase C zeta type"	"1"	"2050470"	"2185395"	"PRKCZ"	"5590"	"Q05513"	"Calcium Regulation in the Cardiac Cell|EGF/EGFR Signaling Pathway|G Protein Signaling Pathways|IL-1 signaling pathway|Insulin Signaling|MAPK signaling pathway|Myometrial Relaxation and Contraction Pathways|TNF alpha Signaling Pathway|Type II diabetes mellitus|Wnt Signaling Pathway|Wnt Signaling Pathway and Pluripotency|miRs in Muscle Cell Differentiation"	"CDC42 signaling events|CXCR4-mediated signaling events|Ceramide signaling pathway|ErbB1 downstream signaling|IGF1 pathway|IL1-mediated signaling events|IL2 signaling events mediated by PI3K|Insulin Pathway|Insulin-mediated glucose transport|Nephrin/Neph1 signaling in the kidney podocyte|Neurotrophic factor-mediated Trk receptor signaling|Noncanonical Wnt signaling pathway|Regulation of Ras family activation|RhoA signaling pathway|Role of Calcineurin-dependent NFAT signaling in lymphocytes|Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)|TNF receptor signaling pathway|Thromboxane A2 receptor signaling|amb2 Integrin signaling|p75(NTR)-mediated signaling"	""	"GPVI-mediated activation cascade|TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)|VEGFR2 mediated cell proliferation"	""	"ingenol mebutate"	""	"Calcium- and diacylglycerol-independent serine/threonine-protein kinase that functions in phosphatidylinositol 3-kinase (PI3K) pathway and mitogen-activated protein (MAP) kinase cascade, and is involved in NF-kappa-B activation, mitogenic signaling, cell proliferation, cell polarity, inflammatory response and maintenance of long-term potentiation (LTP). Upon lipopolysaccharide (LPS) treatment in macrophages, or following mitogenic stimuli, functions downstream of PI3K to activate MAP2K1/MEK1-MAPK1/ERK2 signaling cascade independently of RAF1 activation. Required for insulin-dependent activation of AKT3, but may function as an adapter rather than a direct activator. Upon insulin treatment may act as a downstream effector of PI3K and contribute to the activation of translocation of the glucose transporter SLC2A4/GLUT4 and subsequent glucose transport in adipocytes. In EGF-induced cells, binds and activates MAP2K5/MEK5-MAPK7/ERK5 independently of its kinase activity and can activate JUN promoter through MEF2C. Through binding with SQSTM1/p62, functions in interleukin-1 signaling and activation of NF-kappa-B with the specific adapters RIPK1 and TRAF6. Participates in TNF-dependent transactivation of NF-kappa-B by phosphorylating and activating IKBKB kinase, which in turn leads to the degradation of NF-kappa-B inhibitors. In migrating astrocytes, forms a cytoplasmic complex with PARD6A and is recruited by CDC42 to function in the establishment of cell polarity along with the microtubule motor and dynein. In association with FEZ1, stimulates neuronal differentiation in PC12 cells. In the inflammatory response, is required for the T-helper 2 (Th2) differentiation process, including interleukin production, efficient activation of JAK1 and the subsequent phosphorylation and nuclear translocation of STAT6. May be involved in development of allergic airway inflammation (asthma), a process dependent on Th2 immune response. In the NF-kappa-B-mediated inflammatory response, can relieve SETD6-dependent repression of NF-kappa-B target genes by phosphorylating the RELA subunit at 'Ser-311'. Necessary and sufficient for LTP maintenance in hippocampal CA1 pyramidal cells. In vein endothelial cells treated with the oxidant peroxynitrite, phosphorylates STK11 leading to nuclear export of STK11, subsequent inhibition of PI3K/Akt signaling, and increased apoptosis. Phosphorylates VAMP2 in vitro (PubMed:17313651)."	""	"TRUE"
"2647-66_2"	"SL003648"	"Rab GDP dissociation inhibitor beta"	"Rab GDP dissociation inhibitor beta"	"10"	"5765223"	"5842132"	"GDI2"	"2665"	"P50395"	""	""	""	"Rho GTPase cycle"	""	""	""	"Regulates the GDP/GTP exchange reaction of most Rab proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them."	""	"FALSE"
"2649-77_2"	"SL003178"	"sICAM-3"	"Intercellular adhesion molecule 3"	"19"	"10333776"	"10339823"	"ICAM3"	"3385"	"P32942"	""	"Beta2 integrin cell surface interactions"	""	"CD209 (DC-SIGN) signaling|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell|Integrin cell surface interactions"	"Leukocyte Adhesion to Endothelial Cell|Natural Killer Cell Activation through Integrins and non-ITAM-Containing Receptors"	""	""	"ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). ICAM3 is also a ligand for integrin alpha-D/beta-2."	""	"TRUE"
"2652-15_1"	"SL002506"	"suPAR"	"Urokinase plasminogen activator surface receptor"	"19"	"43646095"	"43670547"	"PLAUR"	"5329"	"Q03405"	"Complement and Coagulation Cascades"	"Arf6 downstream pathway|Beta1 integrin cell surface interactions|Beta2 integrin cell surface interactions|Beta3 integrin cell surface interactions|Beta5 beta6 beta7 and beta8 integrin cell surface interactions|FGF signaling pathway|Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling|Validated transcriptional targets of AP1 family members Fra1 and Fra2|amb2 Integrin signaling"	""	"Attachment of GPI anchor to uPAR|Dissolution of Fibrin Clot"	"UrokinaseR -> ELK-SRF signaling|UrokinaseR -> STAT signaling"	""	"diagnosis|disease progression"	"Acts as a receptor for urokinase plasminogen activator. Plays a role in localizing and promoting plasmin formation. Mediates the proteolysis-independent signal transduction activation effects of U-PA. It is subject to negative-feedback regulation by U-PA which cleaves it into an inactive form."	""	"TRUE"
"2653-62_1"	"SL004230"	"tau"	"Microtubule-associated protein tau"	"17"	"45894382"	"46039943"	"MAPT"	"4137"	"P10636"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis|efficacy|unspecified application"	"Promotes microtubule assembly and stability, and might be involved in the establishment and maintenance of neuronal polarity. The C-terminus binds axonal microtubules while the N-terminus binds neural plasma membrane components, suggesting that tau functions as a linker protein between both. Axonal polarity is predetermined by TAU/MAPT localization (in the neuronal cell) in the domain of the cell body defined by the centrosome. The short isoforms allow plasticity of the cytoskeleton whereas the longer isoforms may preferentially play a role in its stabilization."	""	"TRUE"
"2654-19_1"	"SL001992"	"TNF sR-I"	"Tumor necrosis factor receptor superfamily member 1A"	"12"	"6328757"	"6342114"	"TNFRSF1A"	"7132"	"P19438"	"Alzheimers Disease|Apoptosis|Apoptosis Modulation and Signaling|Apoptosis Modulation by HSP70|Inflammatory Response Pathway|TNF alpha Signaling Pathway"	"Canonical NF-kappaB pathway|Caspase Cascade in Apoptosis|Ceramide signaling pathway|HIV-1 Nef: Negative effector of Fas and TNF-alpha|Signaling events mediated by HDAC Class I|TNF receptor signaling pathway"	""	"TNF signaling|TNFR1-mediated proapoptotic signaling"	"Apoptosis|Cell Death Mediated by Cytotoxic Cells|Peripheral T-cell Tolerance Overview|TLR4 Signaling in Leukocytes|TNFR -> NF-kB signaling|TNFRSF1A -> AP-1/ATF/TP53 signaling|TNFRSF1A -> CREB/ELK-SRF signaling|TNFRSF1A -> STAT signaling"	""	"safety|unspecified application"	"Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase."	""	"TRUE"
"2658-27_1"	"SL004639"	"TrkC"	"NT-3 growth factor receptor"	"15"	"87859751"	"88256768"	"NTRK3"	"4916"	"Q16288"	""	"Neurotrophic factor-mediated Trk receptor signaling|SHP2 signaling"	""	""	"NTRK -> AP-1/CREB/ELK-SRF/MYC/SMAD3/TP53 signaling|NTRK -> FOXO/MYCN signaling|NTRK1/2/3 -> acetylcholine production"	""	""	"Receptor tyrosine kinase involved in nervous system and probably heart development. Upon binding of its ligand NTF3/neurotrophin-3, NTRK3 autophosphorylates and activates different signaling pathways, including the phosphatidylinositol 3-kinase/AKT and the MAPK pathways, that control cell survival and differentiation."	""	"FALSE"
"2665-26_2"	"SL004672"	"BCMA"	"Tumor necrosis factor receptor superfamily member 17"	"16"	"11965107"	"11968068"	"TNFRSF17"	"608"	"Q02223"	""	""	""	""	"Activation of Immunoglobulin Class-Switch Recombination|T-cell-Independent B-cell Activation"	""	""	"Receptor for TNFSF13B/BLyS/BAFF and TNFSF13/APRIL. Promotes B-cell survival and plays a role in the regulation of humoral immunity. Activates NF-kappa-B and JNK."	""	"TRUE"
"2666-53_2"	"SL004081"	"Bone proteoglycan II"	"Decorin"	"12"	"91140484"	"91183123"	"DCN"	"1634"	"P07585"	""	"Validated transcriptional targets of AP1 family members Fra1 and Fra2"	""	"A tetrasaccharide linker sequence is required for GAG synthesis|CS/DS degradation|Chondroitin sulfate biosynthesis|Defective B3GAT3 causes JDSSDHD|Defective B4GALT7 causes EDS, progeroid type|Defective CHST14 causes EDS, musculocontractural type|Defective CHST3 causes SEDCJD|Defective CHSY1 causes TPBS|Degradation of the extracellular matrix|Dermatan sulfate biosynthesis|ECM proteoglycans"	""	""	""	"May affect the rate of fibrils formation."	""	"TRUE"
"2668-70_2"	"SL000337"	"Calpain I"	"Calpain I"	"11|19"	"65180566|36139575"	"65212006|36150353"	"CAPN1|CAPNS1"	"823|826"	"P07384|P04632"	"Alzheimers Disease|Focal Adhesion|Integrin-mediated cell adhesion"	"Signaling events mediated by PTP1B"	""	"Degradation of the extracellular matrix"	"Focal Junction Assembly"	""	""	"Calcium-regulated non-lysosomal thiol-protease which catalyze limited proteolysis of substrates involved in cytoskeletal remodeling and signal transduction.|Regulatory subunit of the calcium-regulated non-lysosomal thiol-protease which catalyzes limited proteolysis of substrates involved in cytoskeletal remodeling and signal transduction."	"215"	"TRUE"
"2670-67_4"	"SL000383"	"CK-MM"	"Creatine kinase M-type"	"19"	"45306414"	"45322977"	"CKM"	"1158"	"P06732"	"Urea cycle and metabolism of amino groups"	"Regulation of retinoblastoma protein"	""	"Creatine metabolism"	""	""	"efficacy|safety|unspecified application"	"Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoa."	""	"TRUE"
"2672-60_1"	"SL005155"	"Cripto"	"Teratocarcinoma-derived growth factor 1"	"3"	"46574555"	"46626543"	"TDGF1"	"6997"	"P13385"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis"	"Could play a role in the determination of the epiblastic cells that subsequently give rise to the mesoderm."	"9|347|443"	"TRUE"
